,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
87141,2013-04-14 20:03:07,72647380,DOMINGO,1,1,L-34-52-PO-30,,-6 days +11:37:53.000000000
87140,2013-04-15 10:27:05,72647380,LABORAL,2,1,L-34-52-OP-35,L-34-52-OP-105,0 days 14:23:58.000000000
87139,2013-04-15 10:54:52,72647380,LABORAL,3,1,L-34-52-PO-5,L-34-52-PO-20,0 days 00:27:47.000000000
87138,2013-04-15 15:40:12,72647380,LABORAL,4,1,L-34-52-PO-20,,0 days 04:45:20.000000000
87137,2013-04-16 09:32:37,72647380,LABORAL,5,1,L-34-52-OP-25,L-34-52-OP-105,0 days 17:52:25.000000000
87142,2013-04-16 09:37:22,72647380,LABORAL,5,2,ELISA CORREA,PLAZA EGANA,0 days 00:04:45.000000000
87136,2013-04-16 10:03:41,72647380,LABORAL,5,3,E-18-157-OP-10,T-14-130-SN-5,0 days 00:26:19.000000000
87135,2013-04-16 16:34:21,72647380,LABORAL,6,1,T-14-130-NS-25,E-18-157-PO-90,0 days 06:30:40.000000000
87134,2013-04-16 16:59:20,72647380,LABORAL,6,2,PLAZA EGANA,ELISA CORREA,0 days 00:24:59.000000000
87133,2013-04-16 17:33:52,72647380,LABORAL,6,3,L-34-52-PO-5,L-34-52-PO-20,0 days 00:34:32.000000000
87132,2013-04-17 15:55:36,72647380,LABORAL,7,1,L-34-52-PO-20,,0 days 22:21:44.000000000
87131,2013-04-18 15:51:35,72647380,LABORAL,8,1,L-34-52-PO-20,,0 days 23:55:59.000000000
87130,2013-04-19 15:51:51,72647380,LABORAL,9,1,L-34-52-PO-15,,1 days 00:00:16.000000000
