,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
29182,2013-09-23 10:29:57,53941386,LABORAL,1,1,L-34-58-SN-15,T-33-134-SN-60,-6 days +19:49:03.000000000
29181,2013-09-23 10:49:04,53941386,LABORAL,1,2,VICENTE VALDES,LOS HEROES,0 days 00:19:07.000000000
29180,2013-09-23 21:49:03,53941386,LABORAL,2,1,LOS HEROES,ELISA CORREA,0 days 10:59:59.000000000
29179,2013-09-23 22:44:55,53941386,LABORAL,2,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:55:52.000000000
29178,2013-09-24 07:33:57,53941386,LABORAL,3,1,VICENTE VALDES,LOS HEROES,0 days 08:49:02.000000000
29177,2013-09-24 21:38:14,53941386,LABORAL,4,1,LOS HEROES,ELISA CORREA,0 days 14:04:17.000000000
29176,2013-09-24 22:24:59,53941386,LABORAL,4,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:46:45.000000000
29175,2013-09-25 09:46:44,53941386,LABORAL,5,1,L-34-52-OP-25,L-34-52-OP-105,0 days 11:21:45.000000000
29174,2013-09-25 09:55:26,53941386,LABORAL,5,2,ELISA CORREA,LOS HEROES,0 days 00:08:42.000000000
29173,2013-09-25 18:36:30,53941386,LABORAL,6,1,LOS HEROES,ESTACION CENTRAL,0 days 08:41:04.000000000
29172,2013-09-25 20:03:37,53941386,LABORAL,7,1,E-7-53-PO-90,T-34-270-NS-3,0 days 01:27:07.000000000
29171,2013-09-25 21:12:14,53941386,LABORAL,7,2,L-34-52-PO-5,L-34-52-PO-20,0 days 01:08:37.000000000
29170,2013-09-26 10:53:08,53941386,LABORAL,8,1,ELISA CORREA,SANTA ANA,0 days 13:40:54.000000000
29169,2013-09-26 14:29:00,53941386,LABORAL,9,1,SANTA ANA,BELLAVISTA DE LA FLORIDA,0 days 03:35:52.000000000
29168,2013-09-26 22:07:41,53941386,LABORAL,10,1,BELLAVISTA DE LA FLORIDA,ELISA CORREA,0 days 07:38:41.000000000
29167,2013-09-26 22:22:37,53941386,LABORAL,10,2,L-34-52-PO-5,,0 days 00:14:56.000000000
29166,2013-09-27 07:34:12,53941386,LABORAL,11,1,VICENTE VALDES,SANTA ANA,0 days 09:11:35.000000000
29165,2013-09-27 23:05:54,53941386,LABORAL,12,1,SANTA ANA,ELISA CORREA,0 days 15:31:42.000000000
29164,2013-09-27 23:53:12,53941386,LABORAL,12,2,L-34-52-PO-5,,0 days 00:47:18.000000000
