,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
54529,2013-04-15 06:39:32,66000404,LABORAL,1,1,L-34-52-OP-45,L-34-52-OP-105,-7 days +22:00:47.000000000
54528,2013-04-15 06:45:19,66000404,LABORAL,2,1,ELISA CORREA,IRARRAZAVAL,0 days 00:05:47.000000000
54527,2013-04-15 07:17:40,66000404,LABORAL,3,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:32:21.000000000
54526,2013-04-15 18:22:16,66000404,LABORAL,4,1,PARQUE OHIGGINS,ELISA CORREA,0 days 11:04:36.000000000
54525,2013-04-15 19:16:28,66000404,LABORAL,4,2,L-34-52-PO-5,L-34-52-PO-30,0 days 00:54:12.000000000
54524,2013-04-16 06:48:48,66000404,LABORAL,5,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:32:20.000000000
54523,2013-04-16 06:56:16,66000404,LABORAL,6,1,ELISA CORREA,IRARRAZAVAL,0 days 00:07:28.000000000
54522,2013-04-16 07:29:38,66000404,LABORAL,7,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:33:22.000000000
54521,2013-04-16 18:14:15,66000404,LABORAL,8,1,PARQUE OHIGGINS,PLAZA DE PUENTE ALTO,0 days 10:44:37.000000000
54520,2013-04-16 19:26:21,66000404,LABORAL,9,1,L-34-44-PO-6,L-34-54-SN-10,0 days 01:12:06.000000000
54519,2013-04-17 06:46:33,66000404,LABORAL,10,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:20:12.000000000
54518,2013-04-17 06:52:32,66000404,LABORAL,11,1,ELISA CORREA,IRARRAZAVAL,0 days 00:05:59.000000000
54517,2013-04-17 07:27:11,66000404,LABORAL,12,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:34:39.000000000
54516,2013-04-17 18:16:17,66000404,LABORAL,13,1,PARQUE OHIGGINS,ELISA CORREA,0 days 10:49:06.000000000
54515,2013-04-17 19:21:11,66000404,LABORAL,13,2,L-34-52-OP-105,L-34-52-PO-30,0 days 01:04:54.000000000
54514,2013-04-18 06:42:18,66000404,LABORAL,14,1,L-34-52-OP-25,L-34-52-OP-105,0 days 11:21:07.000000000
54513,2013-04-18 06:47:13,66000404,LABORAL,15,1,ELISA CORREA,IRARRAZAVAL,0 days 00:04:55.000000000
54512,2013-04-18 07:19:58,66000404,LABORAL,16,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:32:45.000000000
54511,2013-04-18 18:20:47,66000404,LABORAL,17,1,PARQUE OHIGGINS,ELISA CORREA,0 days 11:00:49.000000000
54510,2013-04-18 19:18:57,66000404,LABORAL,17,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:58:10.000000000
54509,2013-04-19 06:37:49,66000404,LABORAL,18,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:18:52.000000000
54508,2013-04-19 06:43:22,66000404,LABORAL,19,1,ELISA CORREA,IRARRAZAVAL,0 days 00:05:33.000000000
54507,2013-04-19 07:14:00,66000404,LABORAL,20,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:30:38.000000000
54506,2013-04-19 17:05:01,66000404,LABORAL,21,1,PARQUE OHIGGINS,ELISA CORREA,0 days 09:51:01.000000000
54505,2013-04-19 18:04:30,66000404,LABORAL,21,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:59:29.000000000
54504,2013-04-20 15:47:14,66000404,SABADO,22,1,L-34-52-OP-25,L-34-52-OP-105,0 days 21:42:44.000000000
54503,2013-04-20 15:51:27,66000404,SABADO,22,2,ELISA CORREA,,0 days 00:04:13.000000000
54502,2013-04-20 22:45:24,66000404,SABADO,23,1,T-32-156-OP-20,E-18-156-OP-5,0 days 06:53:57.000000000
54501,2013-04-20 22:54:06,66000404,SABADO,23,2,GRECIA,ELISA CORREA,0 days 00:08:42.000000000
54500,2013-04-20 23:20:38,66000404,SABADO,23,3,L-34-22-SN-54,L-34-52-PO-20,0 days 00:26:32.000000000
