,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
32413,2013-04-16 14:16:46,54032956,LABORAL,1,1,L-34-52-OP-35,L-34-52-OP-105,-4 days +15:45:14.000000000
32412,2013-04-16 14:33:35,54032956,LABORAL,1,2,ELISA CORREA,MANQUEHUE,0 days 00:16:49.000000000
32411,2013-04-16 21:17:58,54032956,LABORAL,2,1,MANQUEHUE,ELISA CORREA,0 days 06:44:23.000000000
32410,2013-04-16 22:09:29,54032956,LABORAL,2,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:51:31.000000000
32409,2013-04-17 13:51:10,54032956,LABORAL,3,1,L-34-52-OP-35,L-34-52-OP-105,0 days 15:41:41.000000000
32408,2013-04-17 13:55:31,54032956,LABORAL,3,2,ELISA CORREA,PARQUE BUSTAMANTE,0 days 00:04:21.000000000
32407,2013-04-17 14:38:49,54032956,LABORAL,4,1,PARQUE BUSTAMANTE,MANQUEHUE,0 days 00:43:18.000000000
32406,2013-04-17 21:43:15,54032956,LABORAL,5,1,MANQUEHUE,ELISA CORREA,0 days 07:04:26.000000000
32405,2013-04-17 22:30:41,54032956,LABORAL,5,2,L-34-52-PO-5,L-34-52-PO-30,0 days 00:47:26.000000000
32404,2013-04-18 14:27:16,54032956,LABORAL,6,1,ELISA CORREA,MANQUEHUE,0 days 15:56:35.000000000
32403,2013-04-18 21:29:59,54032956,LABORAL,7,1,MANQUEHUE,ELISA CORREA,0 days 07:02:43.000000000
32402,2013-04-18 22:16:42,54032956,LABORAL,7,2,L-34-52-PO-5,,0 days 00:46:43.000000000
32401,2013-04-19 14:18:51,54032956,LABORAL,8,1,L-34-54-SN-5,L-34-52-OP-105,0 days 16:02:09.000000000
32400,2013-04-19 14:25:23,54032956,LABORAL,8,2,ELISA CORREA,MANQUEHUE,0 days 00:06:32.000000000
32399,2013-04-19 21:13:13,54032956,LABORAL,9,1,MANQUEHUE,ELISA CORREA,0 days 06:47:50.000000000
32398,2013-04-19 22:06:19,54032956,LABORAL,9,2,L-34-52-PO-5,L-34-52-PO-40,0 days 00:53:06.000000000
32397,2013-04-20 06:54:03,54032956,SABADO,10,1,L-34-54-SN-10,L-34-52-OP-105,0 days 08:47:44.000000000
32396,2013-04-20 06:59:37,54032956,SABADO,10,2,ELISA CORREA,,0 days 00:05:34.000000000
32395,2013-04-20 18:54:20,54032956,SABADO,11,1,T-15-136-OP-10,E-14-170-SN-10,0 days 11:54:43.000000000
32394,2013-04-20 19:24:06,54032956,SABADO,11,2,FRANCISCO BILBAO,ELISA CORREA,0 days 00:29:46.000000000
32393,2013-04-20 20:03:02,54032956,SABADO,11,3,L-34-52-PO-5,L-34-52-PO-30,0 days 00:38:56.000000000
