,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
52484,2013-09-23 06:43:43,66000404,LABORAL,1,1,L-34-52-OP-35,L-34-52-OP-105,-3 days +10:39:24.000000000
52483,2013-09-23 06:49:34,66000404,LABORAL,2,1,ELISA CORREA,IRARRAZAVAL,0 days 00:05:51.000000000
52482,2013-09-23 07:27:51,66000404,LABORAL,3,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:38:17.000000000
52481,2013-09-23 18:12:17,66000404,LABORAL,4,1,PARQUE OHIGGINS,ELISA CORREA,0 days 10:44:26.000000000
52480,2013-09-23 19:12:13,66000404,LABORAL,4,2,L-34-52-PO-5,L-34-52-PO-30,0 days 00:59:56.000000000
52479,2013-09-24 06:42:43,66000404,LABORAL,5,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:30:30.000000000
52478,2013-09-24 06:48:39,66000404,LABORAL,6,1,ELISA CORREA,IRARRAZAVAL,0 days 00:05:56.000000000
52477,2013-09-24 07:18:03,66000404,LABORAL,7,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:29:24.000000000
52476,2013-09-24 18:12:20,66000404,LABORAL,8,1,PARQUE OHIGGINS,ELISA CORREA,0 days 10:54:17.000000000
52475,2013-09-24 19:12:39,66000404,LABORAL,8,2,L-34-52-PO-5,L-34-52-OP-35,0 days 01:00:19.000000000
52474,2013-09-25 06:43:01,66000404,LABORAL,9,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:30:22.000000000
52473,2013-09-25 06:49:04,66000404,LABORAL,10,1,ELISA CORREA,IRARRAZAVAL,0 days 00:06:03.000000000
52472,2013-09-25 07:20:39,66000404,LABORAL,11,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:31:35.000000000
52471,2013-09-25 18:14:14,66000404,LABORAL,12,1,PARQUE OHIGGINS,ELISA CORREA,0 days 10:53:35.000000000
52470,2013-09-25 19:10:31,66000404,LABORAL,12,2,L-34-52-PO-5,L-34-52-PO-30,0 days 00:56:17.000000000
52469,2013-09-26 06:43:09,66000404,LABORAL,13,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:32:38.000000000
52468,2013-09-26 06:49:03,66000404,LABORAL,14,1,ELISA CORREA,IRARRAZAVAL,0 days 00:05:54.000000000
52467,2013-09-26 07:25:49,66000404,LABORAL,15,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:36:46.000000000
52466,2013-09-26 18:15:14,66000404,LABORAL,16,1,PARQUE OHIGGINS,ELISA CORREA,0 days 10:49:25.000000000
52465,2013-09-26 19:12:23,66000404,LABORAL,16,2,L-34-52-PO-5,L-34-52-OP-35,0 days 00:57:09.000000000
52464,2013-09-27 06:43:28,66000404,LABORAL,17,1,L-34-52-OP-35,L-34-52-OP-105,0 days 11:31:05.000000000
52463,2013-09-27 06:48:09,66000404,LABORAL,18,1,ELISA CORREA,IRARRAZAVAL,0 days 00:04:41.000000000
52462,2013-09-27 07:20:47,66000404,LABORAL,19,1,E-18-156-OP-70,E-20-189-OP-40,0 days 00:32:38.000000000
52461,2013-09-27 17:20:17,66000404,LABORAL,20,1,PARQUE OHIGGINS,BELLAS ARTES,0 days 09:59:30.000000000
52460,2013-09-27 18:39:43,66000404,LABORAL,21,1,BELLAS ARTES,,0 days 01:19:26.000000000
