,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
30057,2013-04-15 08:44:35,53941386,LABORAL,1,1,ELISA CORREA,LOS HEROES,-5 days +15:25:47.000000000
30056,2013-04-15 19:23:54,53941386,LABORAL,2,1,LOS HEROES,ELISA CORREA,0 days 10:39:19.000000000
30055,2013-04-15 20:11:06,53941386,LABORAL,2,2,L-34-52-PO-5,,0 days 00:47:12.000000000
30054,2013-04-16 11:43:11,53941386,LABORAL,3,1,ELISA CORREA,LOS HEROES,0 days 15:32:05.000000000
30053,2013-04-16 16:31:43,53941386,LABORAL,4,1,LOS HEROES,ELISA CORREA,0 days 04:48:32.000000000
30052,2013-04-17 07:29:48,53941386,LABORAL,5,1,VICENTE VALDES,LOS HEROES,0 days 14:58:05.000000000
30051,2013-04-17 18:26:00,53941386,LABORAL,6,1,LOS HEROES,VICENTE VALDES,0 days 10:56:12.000000000
30050,2013-04-18 07:29:43,53941386,LABORAL,7,1,VICENTE VALDES,UNION LATINO AMERICANA,0 days 13:03:43.000000000
30049,2013-04-18 19:16:33,53941386,LABORAL,8,1,UNION LATINO AMERICANA,VICENTE VALDES,0 days 11:46:50.000000000
30048,2013-04-19 07:35:03,53941386,LABORAL,9,1,VICENTE VALDES,PLAZA DE ARMAS,0 days 12:18:30.000000000
30047,2013-04-19 19:08:12,53941386,LABORAL,10,1,PLAZA DE ARMAS,ELISA CORREA,0 days 11:33:09.000000000
30046,2013-04-19 19:47:46,53941386,LABORAL,10,2,L-34-52-PO-5,,0 days 00:39:34.000000000
