,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
91181,2013-04-15 14:06:18,73418692,LABORAL,1,1,LOS QUILLAYES,SALVADOR,-7 days +14:58:00.000000000
91180,2013-04-15 21:19:16,73418692,LABORAL,2,1,SALVADOR,ELISA CORREA,0 days 07:12:58.000000000
91179,2013-04-15 22:06:22,73418692,LABORAL,3,1,L-34-22-SN-60,L-33-14-PO-5,0 days 00:47:06.000000000
91178,2013-04-16 13:17:27,73418692,LABORAL,4,1,MIRADOR,SALVADOR,0 days 15:11:05.000000000
91177,2013-04-16 21:06:34,73418692,LABORAL,5,1,SALVADOR,MIRADOR,0 days 07:49:07.000000000
91176,2013-04-17 16:57:16,73418692,LABORAL,6,1,LOS QUILLAYES,SALVADOR,0 days 19:50:42.000000000
91175,2013-04-17 20:37:45,73418692,LABORAL,7,1,SALVADOR,LOS QUILLAYES,0 days 03:40:29.000000000
91174,2013-04-18 15:18:20,73418692,LABORAL,8,1,BAQUEDANO,SALVADOR,0 days 18:40:35.000000000
91173,2013-04-18 21:07:33,73418692,LABORAL,9,1,SALVADOR,BAQUEDANO,0 days 05:49:13.000000000
91172,2013-04-19 14:33:02,73418692,LABORAL,10,1,LOS QUILLAYES,SALVADOR,0 days 17:25:29.000000000
91171,2013-04-19 21:05:00,73418692,LABORAL,11,1,SALVADOR,,0 days 06:31:58.000000000
91170,2013-04-19 22:03:11,73418692,LABORAL,11,2,,,0 days 00:58:11.000000000
