,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
28041,2013-04-15 07:57:10,53847242,LABORAL,1,1,T-18-157-OP-65,T-14-130-SN-25,-6 days +18:02:53.000000000
28040,2013-04-15 08:21:34,53847242,LABORAL,1,2,SALVADOR,REPUBLICA,0 days 00:24:24.000000000
28039,2013-04-15 17:47:43,53847242,LABORAL,2,1,REPUBLICA,BAQUEDANO,0 days 09:26:09.000000000
28038,2013-04-15 18:01:21,53847242,LABORAL,2,2,E-20-53-PO-115,T-18-130-NS-10,0 days 00:13:38.000000000
28037,2013-04-15 19:57:52,53847242,LABORAL,3,1,T-18-157-OP-70,T-18-157-OP-85,0 days 01:56:31.000000000
28036,2013-04-15 20:04:36,53847242,LABORAL,3,2,IRARRAZAVAL,ELISA CORREA,0 days 00:06:44.000000000
28035,2013-04-15 20:38:40,53847242,LABORAL,3,3,L-34-52-PO-5,L-34-52-PO-20,0 days 00:34:04.000000000
28034,2013-04-16 11:07:39,53847242,LABORAL,4,1,L-34-52-OP-35,L-34-52-OP-105,0 days 14:28:59.000000000
28033,2013-04-16 11:12:09,53847242,LABORAL,4,2,ELISA CORREA,IRARRAZAVAL,0 days 00:04:30.000000000
28032,2013-04-16 11:46:49,53847242,LABORAL,4,3,T-18-157-PO-5,T-18-157-PO-30,0 days 00:34:40.000000000
28031,2013-04-16 22:08:05,53847242,LABORAL,5,1,T-18-157-PO-30,T-18-117-NS-5,0 days 10:21:16.000000000
28030,2013-04-16 22:14:22,53847242,LABORAL,5,2,IRARRAZAVAL,ELISA CORREA,0 days 00:06:17.000000000
28029,2013-04-16 22:46:20,53847242,LABORAL,6,1,L-34-52-PO-5,L-34-52-PO-20,0 days 00:31:58.000000000
28028,2013-04-17 13:50:17,53847242,LABORAL,7,1,L-34-52-OP-35,L-34-52-OP-105,0 days 15:03:57.000000000
28027,2013-04-17 13:54:43,53847242,LABORAL,7,2,ELISA CORREA,REPUBLICA,0 days 00:04:26.000000000
28026,2013-04-17 16:58:30,53847242,LABORAL,8,1,REPUBLICA,ELISA CORREA,0 days 03:03:47.000000000
28025,2013-04-17 17:44:20,53847242,LABORAL,8,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:45:50.000000000
28024,2013-04-18 07:27:07,53847242,LABORAL,9,1,ELISA CORREA,REPUBLICA,0 days 13:42:47.000000000
28023,2013-04-18 16:16:25,53847242,LABORAL,10,1,REPUBLICA,IRARRAZAVAL,0 days 08:49:18.000000000
28022,2013-04-18 16:39:17,53847242,LABORAL,10,2,T-18-157-PO-5,T-18-157-PO-20,0 days 00:22:52.000000000
28021,2013-04-18 22:27:26,53847242,LABORAL,11,1,T-18-157-OP-70,T-18-157-OP-90,0 days 05:48:09.000000000
28020,2013-04-18 22:33:14,53847242,LABORAL,11,2,IRARRAZAVAL,ELISA CORREA,0 days 00:05:48.000000000
28019,2013-04-18 23:10:29,53847242,LABORAL,11,3,L-34-52-PO-5,,0 days 00:37:15.000000000
28018,2013-04-19 09:38:36,53847242,LABORAL,12,1,L-34-52-OP-35,L-34-52-OP-105,0 days 10:28:07.000000000
28017,2013-04-19 09:44:13,53847242,LABORAL,12,2,ELISA CORREA,IRARRAZAVAL,0 days 00:05:37.000000000
28016,2013-04-19 10:17:32,53847242,LABORAL,12,3,T-20-53-PO-103,T-18-157-PO-30,0 days 00:33:19.000000000
28015,2013-04-19 14:25:38,53847242,LABORAL,13,1,T-18-157-OP-60,T-18-157-OP-85,0 days 04:08:06.000000000
28014,2013-04-19 14:32:28,53847242,LABORAL,13,2,IRARRAZAVAL,REPUBLICA,0 days 00:06:50.000000000
28013,2013-04-19 18:42:12,53847242,LABORAL,14,1,REPUBLICA,SALVADOR,0 days 04:09:44.000000000
28012,2013-04-19 19:03:26,53847242,LABORAL,14,2,T-14-130-NS-5,T-18-130-NS-10,0 days 00:21:14.000000000
28011,2013-04-19 20:23:11,53847242,LABORAL,15,1,T-18-157-OP-70,T-18-130-SN-15,0 days 01:19:45.000000000
28010,2013-04-19 20:28:38,53847242,LABORAL,15,2,IRARRAZAVAL,ELISA CORREA,0 days 00:05:27.000000000
28009,2013-04-19 20:59:17,53847242,LABORAL,16,1,L-34-52-PO-5,L-34-52-PO-30,0 days 00:30:39.000000000
28008,2013-04-20 16:20:19,53847242,SABADO,17,1,L-34-52-OP-55,L-34-52-OP-105,0 days 19:21:02.000000000
28007,2013-04-20 16:25:42,53847242,SABADO,17,2,ELISA CORREA,IRARRAZAVAL,0 days 00:05:23.000000000
28006,2013-04-20 16:56:45,53847242,SABADO,17,3,T-18-157-PO-5,T-18-157-PO-30,0 days 00:31:03.000000000
28005,2013-04-20 23:08:18,53847242,SABADO,18,1,T-18-157-PO-30,,0 days 06:11:33.000000000
28004,2013-04-21 22:09:23,53847242,DOMINGO,19,1,T-18-157-OP-60,T-18-157-OP-85,0 days 23:01:05.000000000
28003,2013-04-21 22:15:40,53847242,DOMINGO,19,2,IRARRAZAVAL,ELISA CORREA,0 days 00:06:17.000000000
28002,2013-04-21 22:54:06,53847242,DOMINGO,19,3,L-34-52-PO-5,,0 days 00:38:26.000000000
