,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
27255,2013-09-23 12:36:20,53847242,LABORAL,1,1,ELISA CORREA,SAN JOAQUIN,-4 days +23:20:20.000000000
27254,2013-09-23 19:16:28,53847242,LABORAL,2,1,SAN JOAQUIN,ELISA CORREA,0 days 06:40:08.000000000
27253,2013-09-23 19:51:19,53847242,LABORAL,2,2,L-34-52-PO-5,,0 days 00:34:51.000000000
27252,2013-09-24 12:31:57,53847242,LABORAL,3,1,L-34-52-OP-25,L-34-52-OP-105,0 days 16:40:38.000000000
27251,2013-09-24 12:37:15,53847242,LABORAL,3,2,ELISA CORREA,SAN JOAQUIN,0 days 00:05:18.000000000
27250,2013-09-24 15:40:22,53847242,LABORAL,4,1,SAN JOAQUIN,ESTACION CENTRAL,0 days 03:03:07.000000000
27249,2013-09-24 18:31:57,53847242,LABORAL,5,1,ESTACION CENTRAL,REPUBLICA,0 days 02:51:35.000000000
27248,2013-09-24 20:51:29,53847242,LABORAL,6,1,REPUBLICA,ELISA CORREA,0 days 02:19:32.000000000
27247,2013-09-24 21:40:47,53847242,LABORAL,6,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:49:18.000000000
27246,2013-09-25 17:05:50,53847242,LABORAL,7,1,L-34-52-OP-25,L-34-52-OP-105,0 days 19:25:03.000000000
27245,2013-09-25 17:10:21,53847242,LABORAL,7,2,ELISA CORREA,SANTA LUCIA,0 days 00:04:31.000000000
27244,2013-09-25 17:55:21,53847242,LABORAL,7,3,E-20-53-OP-35,E-20-53-OP-105,0 days 00:45:00.000000000
27243,2013-09-25 21:02:22,53847242,LABORAL,8,1,REPUBLICA,ELISA CORREA,0 days 03:07:01.000000000
27242,2013-09-25 21:46:45,53847242,LABORAL,9,1,L-34-22-SN-54,L-34-52-PO-20,0 days 00:44:23.000000000
27241,2013-09-26 10:15:07,53847242,LABORAL,10,1,L-34-52-OP-35,L-34-52-OP-105,0 days 12:28:22.000000000
27240,2013-09-26 10:20:33,53847242,LABORAL,10,2,ELISA CORREA,REPUBLICA,0 days 00:05:26.000000000
27239,2013-09-26 19:40:58,53847242,LABORAL,11,1,REPUBLICA,ELISA CORREA,0 days 09:20:25.000000000
27238,2013-09-26 20:35:07,53847242,LABORAL,11,2,L-34-52-PO-5,L-34-52-PO-20,0 days 00:54:09.000000000
27237,2013-09-28 15:05:01,53847242,SABADO,12,1,L-34-52-PO-20,,1 days 18:29:54.000000000
