,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
21350,2013-04-15 11:40:36,47472570,LABORAL,1,1,L-31-7-NS-55,I-33-134-SN-67,-6 days +17:17:29.000000000
21349,2013-04-15 11:57:53,47472570,LABORAL,1,2,I-33-134-SN-67,L-34-58-NS-2,0 days 00:17:17.000000000
21348,2013-04-15 15:18:11,47472570,LABORAL,2,1,L-34-58-SN-5,I-33-134-SN-67,0 days 03:20:18.000000000
21347,2013-04-15 15:42:44,47472570,LABORAL,2,2,I-33-134-SN-67,L-31-7-SN-50,0 days 00:24:33.000000000
21346,2013-04-18 11:12:01,47472570,LABORAL,3,1,L-31-7-NS-55,T-33-12-NS-25,2 days 19:29:17.000000000
21345,2013-04-18 11:29:07,47472570,LABORAL,4,1,VICUNA MACKENNA,CRISTOBAL COLON,0 days 00:17:06.000000000
21344,2013-04-18 11:57:13,47472570,LABORAL,5,1,L-14-4-PO-15,T-17-149-NS-5,0 days 00:28:06.000000000
21343,2013-04-18 12:25:50,47472570,LABORAL,6,1,T-17-149-SN-8,L-17-11-OP-10,0 days 00:28:37.000000000
21342,2013-04-18 12:47:22,47472570,LABORAL,6,2,CRISTOBAL COLON,LAS TORRES,0 days 00:21:32.000000000
21341,2013-04-18 13:19:03,47472570,LABORAL,6,3,L-31-6-OP-10,L-31-7-SN-50,0 days 00:31:41.000000000
21340,2013-04-18 17:03:42,47472570,LABORAL,7,1,L-31-7-NS-55,T-33-12-NS-25,0 days 03:44:39.000000000
21339,2013-04-18 20:56:11,47472570,LABORAL,8,1,L-33-80-PO-10,L-31-7-SN-50,0 days 03:52:29.000000000
