,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
88422,2013-09-23 06:39:43,73418692,LABORAL,1,1,ELISA CORREA,IRARRAZAVAL,-7 days +11:05:50.000000000
88421,2013-09-23 07:10:46,73418692,LABORAL,2,1,E-18-156-OP-70,T-20-177-OP-20,0 days 00:31:03.000000000
88420,2013-09-23 18:25:25,73418692,LABORAL,3,1,T-20-177-PO-10,E-18-156-PO-80,0 days 11:14:39.000000000
88419,2013-09-23 19:11:17,73418692,LABORAL,3,2,GRECIA,ELISA CORREA,0 days 00:45:52.000000000
88418,2013-09-24 06:44:14,73418692,LABORAL,4,1,ELISA CORREA,IRARRAZAVAL,0 days 11:32:57.000000000
88417,2013-09-24 07:17:20,73418692,LABORAL,5,1,E-18-156-OP-70,T-20-177-OP-20,0 days 00:33:06.000000000
88416,2013-09-24 18:38:26,73418692,LABORAL,6,1,T-20-177-PO-10,E-18-156-PO-80,0 days 11:21:06.000000000
88415,2013-09-24 19:26:42,73418692,LABORAL,6,2,GRECIA,ELISA CORREA,0 days 00:48:16.000000000
88414,2013-09-25 06:43:00,73418692,LABORAL,7,1,ELISA CORREA,IRARRAZAVAL,0 days 11:16:18.000000000
88413,2013-09-25 07:11:05,73418692,LABORAL,8,1,E-18-156-OP-70,T-20-177-OP-20,0 days 00:28:05.000000000
88412,2013-09-25 18:37:15,73418692,LABORAL,9,1,T-20-177-PO-10,E-18-156-PO-80,0 days 11:26:10.000000000
88411,2013-09-25 19:22:56,73418692,LABORAL,9,2,GRECIA,ELISA CORREA,0 days 00:45:41.000000000
88410,2013-09-26 06:37:56,73418692,LABORAL,10,1,ELISA CORREA,IRARRAZAVAL,0 days 11:15:00.000000000
88409,2013-09-26 07:05:37,73418692,LABORAL,11,1,E-18-156-OP-70,T-20-177-OP-8,0 days 00:27:41.000000000
88408,2013-09-26 19:25:47,73418692,LABORAL,12,1,TOESCA,ELISA CORREA,0 days 12:20:10.000000000
88407,2013-09-27 06:42:57,73418692,LABORAL,13,1,ELISA CORREA,IRARRAZAVAL,0 days 11:17:10.000000000
88406,2013-09-27 07:13:29,73418692,LABORAL,14,1,E-18-156-OP-70,T-20-177-OP-20,0 days 00:30:32.000000000
88405,2013-09-27 18:20:01,73418692,LABORAL,15,1,T-20-177-PO-10,E-18-156-PO-80,0 days 11:06:32.000000000
88404,2013-09-27 19:07:48,73418692,LABORAL,15,2,GRECIA,ELISA CORREA,0 days 00:47:47.000000000
