,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
99993,2013-04-15 07:13:04,75489580,LABORAL,1,1,MONTE TABOR,LAS PARCELAS,-6 days +08:06:19.000000000
99992,2013-04-16 07:11:17,75489580,LABORAL,2,1,MONTE TABOR,SANTA ANA,0 days 23:58:13.000000000
99991,2013-04-16 18:18:50,75489580,LABORAL,3,1,SANTA ANA,,0 days 11:07:33.000000000
99990,2013-04-16 18:18:54,75489580,LABORAL,4,1,SANTA ANA,MONTE TABOR,0 days 00:00:04.000000000
99989,2013-04-17 07:13:32,75489580,LABORAL,5,1,MONTE TABOR,SANTA ANA,0 days 12:54:38.000000000
99988,2013-04-17 18:14:03,75489580,LABORAL,6,1,SANTA ANA,MONTE TABOR,0 days 11:00:31.000000000
99987,2013-04-18 09:09:39,75489580,LABORAL,7,1,E-13-54-NS-85,,0 days 14:55:36.000000000
99986,2013-04-18 09:34:27,75489580,LABORAL,7,2,PLAZA MAIPU,CAL Y CANTO,0 days 00:24:48.000000000
99985,2013-04-18 18:14:16,75489580,LABORAL,8,1,CAL Y CANTO,PLAZA MAIPU,0 days 08:39:49.000000000
99984,2013-04-19 07:11:54,75489580,LABORAL,9,1,MONTE TABOR,SANTA ANA,0 days 12:57:38.000000000
99983,2013-04-19 18:27:31,75489580,LABORAL,10,1,SANTA ANA,MONTE TABOR,0 days 11:15:37.000000000
