,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
19552,2013-09-24 07:52:01,42922612,LABORAL,1,1,T-13-12-NS-20,T-13-54-SN-50,-4 days +13:51:25.000000000
19551,2013-09-24 08:11:44,42922612,LABORAL,1,2,DEL SOL,PLAZA DE ARMAS,0 days 00:19:43.000000000
19550,2013-09-24 18:49:30,42922612,LABORAL,2,1,PLAZA DE ARMAS,MONTE TABOR,0 days 10:37:46.000000000
19549,2013-09-24 21:27:48,42922612,LABORAL,3,1,MONTE TABOR,DEL SOL,0 days 02:38:18.000000000
19548,2013-09-24 21:35:34,42922612,LABORAL,4,1,T-13-54-NS-35,L-13-31-PO-65,0 days 00:07:46.000000000
19547,2013-09-25 07:13:45,42922612,LABORAL,5,1,L-13-31-OP-60,T-13-54-SN-50,0 days 09:38:11.000000000
19546,2013-09-25 07:29:40,42922612,LABORAL,5,2,DEL SOL,LA MONEDA,0 days 00:15:55.000000000
19545,2013-09-25 18:07:43,42922612,LABORAL,6,1,LA MONEDA,SALVADOR,0 days 10:38:03.000000000
19544,2013-09-25 19:35:49,42922612,LABORAL,7,1,SALVADOR,DEL SOL,0 days 01:28:06.000000000
19543,2013-09-25 20:17:39,42922612,LABORAL,8,1,T-13-54-NS-35,L-13-31-PO-65,0 days 00:41:50.000000000
19542,2013-09-26 07:22:07,42922612,LABORAL,9,1,T-13-12-NS-20,T-13-54-SN-50,0 days 11:04:28.000000000
19541,2013-09-26 07:39:17,42922612,LABORAL,9,2,DEL SOL,SANTIAGO BUERAS,0 days 00:17:10.000000000
19540,2013-09-27 07:42:51,42922612,LABORAL,10,1,DEL SOL,SANTA ANA,1 days 00:03:34.000000000
19539,2013-09-27 15:58:28,42922612,LABORAL,11,1,SANTA ANA,DEL SOL,0 days 08:15:37.000000000
