,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
72677,2013-04-15 20:07:28,68858644,LABORAL,1,1,LA MONEDA,UNIVERSIDAD DE CHILE,-5 days +21:31:24.000000000
72676,2013-04-15 20:28:26,68858644,LABORAL,2,1,T-20-53-PO-85,T-14-128-PO-4,0 days 00:20:58.000000000
72675,2013-04-15 20:37:37,68858644,LABORAL,3,1,E-14-134-SN-30,T-20-73-OP-50,0 days 00:09:11.000000000
72674,2013-04-16 10:16:53,68858644,LABORAL,4,1,L-6-2-PO-10,T-20-188-NS-11,0 days 13:39:16.000000000
72673,2013-04-16 10:39:51,68858644,LABORAL,4,2,SANTA ANA,LA MONEDA,0 days 00:22:58.000000000
72672,2013-04-16 20:05:46,68858644,LABORAL,5,1,LA MONEDA,UNIVERSIDAD DE CHILE,0 days 09:25:55.000000000
72671,2013-04-16 20:18:28,68858644,LABORAL,5,2,T-20-53-PO-80,E-20-185-NS-5,0 days 00:12:42.000000000
72670,2013-04-16 20:25:56,68858644,LABORAL,5,3,E-14-134-SN-30,L-6-2-OP-15,0 days 00:07:28.000000000
72669,2013-04-17 10:13:50,68858644,LABORAL,6,1,L-6-2-PO-10,T-20-188-NS-11,0 days 13:47:54.000000000
72668,2013-04-17 10:38:06,68858644,LABORAL,6,2,SANTA ANA,SANTA ISABEL,0 days 00:24:16.000000000
72667,2013-04-17 11:04:50,68858644,LABORAL,7,1,SANTA ISABEL,LA MONEDA,0 days 00:26:44.000000000
72666,2013-04-17 20:38:21,68858644,LABORAL,8,1,LA MONEDA,BAQUEDANO,0 days 09:33:31.000000000
72665,2013-04-17 20:46:03,68858644,LABORAL,8,2,E-14-134-SN-30,L-6-2-OP-15,0 days 00:07:42.000000000
72664,2013-04-18 12:47:43,68858644,LABORAL,9,1,L-6-2-PO-10,T-20-182-PO-44,0 days 16:01:40.000000000
72663,2013-04-18 13:42:21,68858644,LABORAL,9,2,UNIVERSIDAD DE CHILE,LA MONEDA,0 days 00:54:38.000000000
72662,2013-04-18 20:10:21,68858644,LABORAL,10,1,LA MONEDA,BAQUEDANO,0 days 06:28:00.000000000
72661,2013-04-18 20:19:41,68858644,LABORAL,10,2,E-14-134-SN-30,L-6-2-OP-15,0 days 00:09:20.000000000
72660,2013-04-19 20:06:15,68858644,LABORAL,11,1,LA MONEDA,PLAZA DE ARMAS,0 days 23:46:34.000000000
72659,2013-04-19 20:47:16,68858644,LABORAL,12,1,T-20-192-PO-4,E-20-185-NS-5,0 days 00:41:01.000000000
72658,2013-04-19 20:54:30,68858644,LABORAL,13,1,E-14-134-SN-30,T-20-73-OP-50,0 days 00:07:14.000000000
