,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
52973,2013-09-23 07:10:11,66039348,LABORAL,1,1,T-5-8-NS-60,,-6 days +16:21:09.000000000
52972,2013-09-24 07:14:43,66039348,LABORAL,2,1,T-5-8-NS-55,,1 days 00:04:32.000000000
52971,2013-09-25 07:10:52,66039348,LABORAL,3,1,T-5-8-NS-60,T-20-192-PO-4,0 days 23:56:09.000000000
52970,2013-09-25 20:04:15,66039348,LABORAL,4,1,T-20-73-OP-15,T-1-4-SN-25,0 days 12:53:23.000000000
52969,2013-09-26 07:09:58,66039348,LABORAL,5,1,T-5-8-NS-60,,0 days 11:05:43.000000000
52968,2013-09-27 07:13:39,66039348,LABORAL,6,1,T-5-8-NS-60,,1 days 00:03:41.000000000
52967,2013-09-27 16:38:24,66039348,LABORAL,7,1,T-5-8-NS-60,T-20-188-NS-11,0 days 09:24:45.000000000
52966,2013-09-27 16:45:32,66039348,LABORAL,7,2,SANTA ANA,ESTACION CENTRAL,0 days 00:07:08.000000000
52965,2013-09-28 17:17:29,66039348,SABADO,8,1,ESTACION CENTRAL,PLAZA DE ARMAS,1 days 00:31:57.000000000
52964,2013-09-28 21:34:04,66039348,SABADO,9,1,PLAZA DE ARMAS,LA CISTERNA,0 days 04:16:35.000000000
52963,2013-09-28 22:18:24,66039348,SABADO,10,1,LA CISTERNA,ESTACION CENTRAL,0 days 00:44:20.000000000
