,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
54981,2013-04-15 07:25:46,66039348,LABORAL,1,1,T-5-8-NS-55,T-20-188-NS-11,-5 days +12:39:58.000000000
54980,2013-04-15 11:45:56,66039348,LABORAL,2,1,T-20-73-OP-42,T-1-4-SN-20,0 days 04:20:10.000000000
54979,2013-04-15 14:34:17,66039348,LABORAL,3,1,T-5-8-NS-60,,0 days 02:48:21.000000000
54978,2013-04-16 07:25:16,66039348,LABORAL,4,1,T-5-8-NS-60,T-20-192-PO-4,0 days 16:50:59.000000000
54977,2013-04-16 10:52:33,66039348,LABORAL,5,1,PLAZA DE ARMAS,,0 days 03:27:17.000000000
54976,2013-04-16 15:24:34,66039348,LABORAL,6,1,T-5-8-NS-60,T-20-192-PO-4,0 days 04:32:01.000000000
54975,2013-04-16 17:07:13,66039348,LABORAL,7,1,PLAZA DE ARMAS,BELLAS ARTES,0 days 01:42:39.000000000
54974,2013-04-16 20:52:16,66039348,LABORAL,8,1,BELLAS ARTES,LA CISTERNA,0 days 03:45:03.000000000
54973,2013-04-16 21:33:04,66039348,LABORAL,9,1,LA CISTERNA,,0 days 00:40:48.000000000
54972,2013-04-17 07:31:12,66039348,LABORAL,10,1,T-5-8-NS-60,,0 days 09:58:08.000000000
54971,2013-04-18 07:19:23,66039348,LABORAL,11,1,T-5-8-NS-60,T-20-192-PO-15,0 days 23:48:11.000000000
54970,2013-04-18 10:08:23,66039348,LABORAL,12,1,T-20-199-NS-5,T-20-201-NS-65,0 days 02:49:00.000000000
54969,2013-04-18 12:36:42,66039348,LABORAL,13,1,FRANKLIN,PLAZA DE ARMAS,0 days 02:28:19.000000000
54968,2013-04-18 13:55:33,66039348,LABORAL,14,1,PLAZA DE ARMAS,LA CISTERNA,0 days 01:18:51.000000000
54967,2013-04-18 14:40:49,66039348,LABORAL,15,1,LA CISTERNA,UNIVERSIDAD DE SANTIAGO,0 days 00:45:16.000000000
54966,2013-04-18 15:17:34,66039348,LABORAL,16,1,UNIVERSIDAD DE SANTIAGO,,0 days 00:36:45.000000000
54965,2013-04-18 19:37:11,66039348,LABORAL,17,1,,,0 days 04:19:37.000000000
54964,2013-04-19 07:25:54,66039348,LABORAL,18,1,T-5-8-NS-60,,0 days 11:48:43.000000000
54963,2013-04-19 16:02:23,66039348,LABORAL,19,1,UNIVERSIDAD DE SANTIAGO,,0 days 08:36:29.000000000
