,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
11684,2013-04-15 07:16:25,19598141,LABORAL,1,1,T-27-228-SN-50,T-26-228-SN-27,-7 days +11:38:01.000000000
11683,2013-04-15 07:29:45,19598141,LABORAL,1,2,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 00:13:20.000000000
11682,2013-04-15 18:27:02,19598141,LABORAL,2,1,UNIVERSIDAD DE CHILE,PEDRO DE VALDIVIA,0 days 10:57:17.000000000
11681,2013-04-15 19:44:51,19598141,LABORAL,3,1,PEDRO DE VALDIVIA,,0 days 01:17:49.000000000
11680,2013-04-15 20:27:35,19598141,LABORAL,3,2,,,0 days 00:42:44.000000000
11679,2013-04-16 07:18:08,19598141,LABORAL,4,1,T-27-228-SN-25,T-26-228-SN-20,0 days 10:50:33.000000000
11678,2013-04-16 07:48:14,19598141,LABORAL,4,2,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 00:30:06.000000000
11677,2013-04-16 21:42:41,19598141,LABORAL,5,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 13:54:27.000000000
11676,2013-04-16 22:14:10,19598141,LABORAL,5,2,I-26-228-SN-25,T-27-228-NS-40,0 days 00:31:29.000000000
11675,2013-04-17 07:34:51,19598141,LABORAL,6,1,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 09:20:41.000000000
11674,2013-04-17 19:26:59,19598141,LABORAL,7,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 11:52:08.000000000
11673,2013-04-17 19:57:39,19598141,LABORAL,7,2,T-27-228-SN-65,,0 days 00:30:40.000000000
11672,2013-04-18 07:49:20,19598141,LABORAL,8,1,LA CISTERNA,SANTA LUCIA,0 days 11:51:41.000000000
11671,2013-04-18 20:39:25,19598141,LABORAL,9,1,SANTA LUCIA,LA CISTERNA,0 days 12:50:05.000000000
11670,2013-04-19 07:14:22,19598141,LABORAL,10,1,T-27-228-SN-30,T-26-228-SN-27,0 days 10:34:57.000000000
11669,2013-04-19 07:45:19,19598141,LABORAL,10,2,LA CISTERNA,LOS HEROES,0 days 00:30:57.000000000
11668,2013-04-19 20:01:57,19598141,LABORAL,11,1,LOS HEROES,LA CISTERNA,0 days 12:16:38.000000000
11667,2013-04-19 20:30:36,19598141,LABORAL,12,1,I-26-228-SN-25,T-27-228-NS-40,0 days 00:28:39.000000000
