,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
11327,2013-09-23 07:45:27,19598141,LABORAL,1,1,T-27-228-SN-30,I-26-228-SN-25,-5 days +16:29:20.000000000
11326,2013-09-23 08:01:21,19598141,LABORAL,1,2,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 00:15:54.000000000
11325,2013-09-23 18:54:16,19598141,LABORAL,2,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 10:52:55.000000000
11324,2013-09-23 19:27:45,19598141,LABORAL,2,2,I-26-228-SN-25,T-27-228-NS-40,0 days 00:33:29.000000000
11323,2013-09-24 07:32:09,19598141,LABORAL,3,1,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 12:04:24.000000000
11322,2013-09-24 18:54:18,19598141,LABORAL,4,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 11:22:09.000000000
11321,2013-09-24 19:29:21,19598141,LABORAL,5,1,I-26-228-SN-25,,0 days 00:35:03.000000000
11320,2013-09-25 07:30:58,19598141,LABORAL,6,1,LA CISTERNA,CAL Y CANTO,0 days 12:01:37.000000000
11319,2013-09-25 19:39:43,19598141,LABORAL,7,1,CAL Y CANTO,LA CISTERNA,0 days 12:08:45.000000000
11318,2013-09-25 20:10:14,19598141,LABORAL,7,2,I-26-228-SN-25,,0 days 00:30:31.000000000
11317,2013-09-26 07:35:06,19598141,LABORAL,8,1,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 11:24:52.000000000
11316,2013-09-26 18:40:02,19598141,LABORAL,9,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 11:04:56.000000000
11315,2013-09-26 19:28:18,19598141,LABORAL,9,2,I-26-228-SN-25,,0 days 00:48:16.000000000
11314,2013-09-27 07:30:46,19598141,LABORAL,10,1,LA CISTERNA,PATRONATO,0 days 12:02:28.000000000
11313,2013-09-27 21:39:47,19598141,LABORAL,11,1,BELLAS ARTES,ESCUELA MILITAR,0 days 14:09:01.000000000
11312,2013-09-27 21:59:55,19598141,LABORAL,11,2,E-17-12-SN-30,T-17-306-PO-15,0 days 00:20:08.000000000
11311,2013-09-28 00:41:04,19598141,SABADO,12,1,T-15-306-OP-45,T-4-21-OP-10,0 days 02:41:09.000000000
11310,2013-09-28 09:19:33,19598141,SABADO,13,1,BELLAS ARTES,LA CISTERNA,0 days 08:38:29.000000000
11309,2013-09-28 09:50:36,19598141,SABADO,13,2,I-26-228-SN-25,,0 days 00:31:03.000000000
