,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
27407,2013-04-14 11:40:55,53773978,DOMINGO,1,1,L-6-36-OP-20,T-4-12-PO-13,-8 days +16:36:50.000000000
27406,2013-04-14 12:15:16,53773978,DOMINGO,1,2,VESPUCIO NORTE,PARQUE OHIGGINS,0 days 00:34:21.000000000
27405,2013-04-14 22:41:56,53773978,DOMINGO,2,1,PARQUE OHIGGINS,,0 days 10:26:40.000000000
27404,2013-04-15 08:05:21,53773978,LABORAL,3,1,L-6-43-SN-20,T-20-188-NS-15,0 days 09:23:25.000000000
27403,2013-04-15 09:03:38,53773978,LABORAL,3,2,SANTA ANA,LA CISTERNA,0 days 00:58:17.000000000
27402,2013-04-15 09:36:06,53773978,LABORAL,3,3,I-26-228-SN-25,L-27-24-NS-5,0 days 00:32:28.000000000
27401,2013-04-15 13:02:37,53773978,LABORAL,4,1,L-23-39-SN-10,I-26-228-SN-25,0 days 03:26:31.000000000
27400,2013-04-15 13:15:49,53773978,LABORAL,4,2,LA CISTERNA,ESTACION CENTRAL,0 days 00:13:12.000000000
27399,2013-04-15 20:32:46,53773978,LABORAL,5,1,ESTACION CENTRAL,LA CISTERNA,0 days 07:16:57.000000000
27398,2013-04-15 21:09:50,53773978,LABORAL,6,1,I-26-228-SN-25,L-27-24-NS-5,0 days 00:37:04.000000000
27397,2013-04-16 14:14:40,53773978,LABORAL,7,1,L-23-39-SN-10,T-26-228-SN-15,0 days 17:04:50.000000000
27396,2013-04-16 14:27:33,53773978,LABORAL,7,2,LA CISTERNA,ESTACION CENTRAL,0 days 00:12:53.000000000
27395,2013-04-16 21:55:27,53773978,LABORAL,8,1,ESTACION CENTRAL,BAQUEDANO,0 days 07:27:54.000000000
27394,2013-04-16 22:16:54,53773978,LABORAL,9,1,E-14-134-SN-30,L-6-43-NS-10,0 days 00:21:27.000000000
27393,2013-04-17 08:24:25,53773978,LABORAL,10,1,L-6-43-SN-15,T-20-188-NS-11,0 days 10:07:31.000000000
27392,2013-04-17 09:10:08,53773978,LABORAL,10,2,SANTA ANA,ESTACION CENTRAL,0 days 00:45:43.000000000
27391,2013-04-17 13:38:28,53773978,LABORAL,11,1,ESTACION CENTRAL,,0 days 04:28:20.000000000
27390,2013-04-17 14:10:40,53773978,LABORAL,11,2,,,0 days 00:32:12.000000000
27389,2013-04-18 09:23:31,53773978,LABORAL,12,1,L-23-39-SN-15,I-26-228-SN-25,0 days 19:12:51.000000000
27388,2013-04-18 09:42:01,53773978,LABORAL,12,2,LA CISTERNA,UNIVERSIDAD DE SANTIAGO,0 days 00:18:30.000000000
27387,2013-04-18 12:01:17,53773978,LABORAL,13,1,UNIVERSIDAD DE SANTIAGO,UNIVERSIDAD DE CHILE,0 days 02:19:16.000000000
27386,2013-04-18 14:57:48,53773978,LABORAL,14,1,UNIVERSIDAD DE CHILE,ESTACION CENTRAL,0 days 02:56:31.000000000
27385,2013-04-18 17:56:00,53773978,LABORAL,15,1,ESTACION CENTRAL,LA CISTERNA,0 days 02:58:12.000000000
27384,2013-04-18 18:34:30,53773978,LABORAL,16,1,I-26-228-SN-25,L-27-24-NS-5,0 days 00:38:30.000000000
27383,2013-04-19 16:44:03,53773978,LABORAL,17,1,LA CISTERNA,PRINCIPE DE GALES,0 days 22:09:33.000000000
27382,2013-04-19 18:03:51,53773978,LABORAL,18,1,PRINCIPE DE GALES,BAQUEDANO,0 days 01:19:48.000000000
27381,2013-04-19 18:34:57,53773978,LABORAL,18,2,E-14-134-SN-30,L-6-36-OP-25,0 days 00:31:06.000000000
27380,2013-04-20 20:44:59,53773978,SABADO,19,1,L-6-36-PO-20,,1 days 02:10:02.000000000
27379,2013-04-21 12:11:09,53773978,DOMINGO,20,1,L-6-36-PO-10,T-2-7-PO-15,0 days 15:26:10.000000000
27378,2013-04-21 14:07:47,53773978,DOMINGO,21,1,T-3-12-OP-70,L-6-36-OP-20,0 days 01:56:38.000000000
