,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
26727,2013-09-23 08:37:05,53773978,LABORAL,1,1,L-6-43-SN-10,T-20-188-NS-11,-7 days +13:01:43.000000000
26726,2013-09-23 09:13:50,53773978,LABORAL,1,2,SANTA ANA,LA CISTERNA,0 days 00:36:45.000000000
26725,2013-09-23 09:51:00,53773978,LABORAL,1,3,I-26-228-SN-25,L-27-24-NS-5,0 days 00:37:10.000000000
26724,2013-09-23 18:26:31,53773978,LABORAL,2,1,L-23-39-SN-10,I-26-228-SN-25,0 days 08:35:31.000000000
26723,2013-09-23 18:45:09,53773978,LABORAL,2,2,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 00:18:38.000000000
26722,2013-09-23 22:14:05,53773978,LABORAL,3,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 03:28:56.000000000
26721,2013-09-23 22:41:33,53773978,LABORAL,3,2,I-26-228-SN-25,T-27-224-NS-110,0 days 00:27:28.000000000
26720,2013-09-24 11:00:04,53773978,LABORAL,4,1,L-23-39-SN-5,,0 days 12:18:31.000000000
26719,2013-09-24 18:10:29,53773978,LABORAL,5,1,L-23-39-SN-10,T-26-228-SN-15,0 days 07:10:25.000000000
26718,2013-09-24 18:31:31,53773978,LABORAL,5,2,LA CISTERNA,ESTACION CENTRAL,0 days 00:21:02.000000000
26717,2013-09-24 22:06:52,53773978,LABORAL,6,1,ESTACION CENTRAL,BAQUEDANO,0 days 03:35:21.000000000
26716,2013-09-24 22:29:00,53773978,LABORAL,6,2,E-14-134-SN-30,L-6-36-OP-5,0 days 00:22:08.000000000
26715,2013-09-25 08:26:01,53773978,LABORAL,7,1,L-6-43-SN-10,T-20-188-NS-11,0 days 09:57:01.000000000
26714,2013-09-25 10:47:18,53773978,LABORAL,8,1,CAL Y CANTO,LA CISTERNA,0 days 02:21:17.000000000
26713,2013-09-25 11:26:21,53773978,LABORAL,9,1,I-26-228-SN-25,,0 days 00:39:03.000000000
26712,2013-09-25 18:30:25,53773978,LABORAL,10,1,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 07:04:04.000000000
26711,2013-09-25 22:08:43,53773978,LABORAL,11,1,UNIVERSIDAD DE CHILE,LA CISTERNA,0 days 03:38:18.000000000
26710,2013-09-25 22:41:42,53773978,LABORAL,11,2,I-26-228-SN-25,,0 days 00:32:59.000000000
26709,2013-09-26 12:07:49,53773978,LABORAL,12,1,LA CISTERNA,UNIVERSIDAD DE SANTIAGO,0 days 13:26:07.000000000
26708,2013-09-26 13:09:59,53773978,LABORAL,13,1,UNIVERSIDAD DE SANTIAGO,PLAZA DE ARMAS,0 days 01:02:10.000000000
26707,2013-09-26 14:58:04,53773978,LABORAL,14,1,PLAZA DE ARMAS,LA CISTERNA,0 days 01:48:05.000000000
26706,2013-09-26 15:26:48,53773978,LABORAL,14,2,I-26-228-SN-25,,0 days 00:28:44.000000000
26705,2013-09-27 17:52:39,53773978,LABORAL,15,1,L-23-39-SN-10,I-26-228-SN-25,1 days 02:25:51.000000000
26704,2013-09-27 18:10:47,53773978,LABORAL,15,2,LA CISTERNA,UNIVERSIDAD DE CHILE,0 days 00:18:08.000000000
26703,2013-09-27 22:11:45,53773978,LABORAL,16,1,UNIVERSIDAD DE CHILE,,0 days 04:00:58.000000000
26702,2013-09-28 16:39:21,53773978,SABADO,17,1,L-6-36-PO-10,T-6-45-PO-5,0 days 18:27:36.000000000
26701,2013-09-28 16:50:07,53773978,SABADO,18,1,T-6-41-SN-15,L-6-39-PO-15,0 days 00:10:46.000000000
26700,2013-09-28 18:37:57,53773978,SABADO,19,1,L-6-39-OP-20,L-6-21-NS-30,0 days 01:47:50.000000000
26699,2013-09-28 19:36:16,53773978,SABADO,20,1,L-6-21-NS-30,L-6-36-OP-5,0 days 00:58:19.000000000
