,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
80707,2013-09-23 09:15:33,71357492,LABORAL,1,1,T-26-228-SN-45,T-20-200-SN-40,-5 days +14:07:16.000000000
80706,2013-09-23 10:42:15,71357492,LABORAL,2,1,T-20-201-NS-45,L-23-42-NS-5,0 days 01:26:42.000000000
80705,2013-09-23 11:09:30,71357492,LABORAL,2,2,L-23-43-PO-5,,0 days 00:27:15.000000000
80704,2013-09-25 09:50:01,71357492,LABORAL,3,1,T-23-205-SN-72,E-20-205-SN-55,1 days 22:40:31.000000000
80703,2013-09-25 10:45:15,71357492,LABORAL,3,2,UNIVERSIDAD DE CHILE,ESTACION CENTRAL,0 days 00:55:14.000000000
80702,2013-09-25 11:29:49,71357492,LABORAL,4,1,ESTACION CENTRAL,LA CISTERNA,0 days 00:44:34.000000000
80701,2013-09-25 11:58:57,71357492,LABORAL,4,2,I-26-228-SN-25,T-23-205-SN-72,0 days 00:29:08.000000000
80700,2013-09-27 13:44:38,71357492,LABORAL,5,1,VICUNA MACKENNA,SANTA ROSA,2 days 01:45:41.000000000
80699,2013-09-27 13:59:40,71357492,LABORAL,5,2,E-24-205-NS-65,L-22-19-OP-5,0 days 00:15:02.000000000
80698,2013-09-28 15:35:21,71357492,SABADO,6,1,T-23-205-NS-17,,1 days 01:35:41.000000000
