,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
202,2013-04-14 14:46:34,1378762,DOMINGO,1,1,T-5-34-PO-23,E-5-30-PO-7,-6 days +04:07:32.000000000
201,2013-04-14 15:16:36,1378762,DOMINGO,2,1,E-5-38-SN-5,E-5-38-PO-30,0 days 00:30:02.000000000
200,2013-04-14 15:24:28,1378762,DOMINGO,3,1,E-1-4-SN-50,T-6-327-OP-25,0 days 00:07:52.000000000
199,2013-04-14 22:11:08,1378762,DOMINGO,4,1,T-6-327-PO-15,T-20-188-NS-11,0 days 06:46:40.000000000
198,2013-04-14 22:45:11,1378762,DOMINGO,4,2,SANTA ANA,SANTA ANA,0 days 00:34:03.000000000
197,2013-04-14 23:46:55,1378762,DOMINGO,5,1,T-20-73-OP-50,T-5-34-PO-23,0 days 01:01:44.000000000
196,2013-04-15 07:06:15,1378762,LABORAL,6,1,T-5-34-PO-23,,0 days 07:19:20.000000000
195,2013-04-15 17:26:58,1378762,LABORAL,7,1,T-7-53-PO-70,E-20-53-PO-110,0 days 10:20:43.000000000
194,2013-04-15 17:52:13,1378762,LABORAL,7,2,E-14-134-SN-30,,0 days 00:25:15.000000000
193,2013-04-15 21:39:38,1378762,LABORAL,8,1,T-6-327-PO-15,T-5-8-NS-45,0 days 03:47:25.000000000
192,2013-04-15 22:09:29,1378762,LABORAL,9,1,L-5-10-OP-45,L-5-17-OP-5,0 days 00:29:51.000000000
191,2013-04-16 08:18:38,1378762,LABORAL,10,1,T-5-34-PO-23,T-14-131-PO-25,0 days 10:09:09.000000000
190,2013-04-16 17:52:20,1378762,LABORAL,11,1,T-14-128-OP-35,,0 days 09:33:42.000000000
189,2013-04-17 09:01:44,1378762,LABORAL,12,1,T-5-34-PO-23,T-14-131-PO-25,0 days 15:09:24.000000000
188,2013-04-17 16:06:23,1378762,LABORAL,13,1,MANUEL MONTT,LO OVALLE,0 days 07:04:39.000000000
187,2013-04-17 16:40:57,1378762,LABORAL,13,2,I-26-228-NS-3,L-28-11-OP-5,0 days 00:34:34.000000000
186,2013-04-17 20:32:31,1378762,LABORAL,14,1,T-29-233-SN-5,T-5-34-OP-10,0 days 03:51:34.000000000
185,2013-04-18 16:38:41,1378762,LABORAL,15,1,T-14-128-OP-55,,0 days 20:06:10.000000000
184,2013-04-20 11:56:17,1378762,SABADO,16,1,T-5-34-PO-23,E-7-51-NS-15,1 days 19:17:36.000000000
183,2013-04-20 13:10:26,1378762,SABADO,17,1,E-7-51-NS-15,T-28-233-NS-35,0 days 01:14:09.000000000
182,2013-04-20 20:58:16,1378762,SABADO,18,1,T-29-233-SN-5,T-5-34-OP-10,0 days 07:47:50.000000000
181,2013-04-21 14:22:53,1378762,DOMINGO,19,1,T-5-38-PO-3,E-5-38-PO-30,0 days 17:24:37.000000000
180,2013-04-21 14:27:57,1378762,DOMINGO,20,1,E-1-4-SN-50,T-6-327-OP-25,0 days 00:05:04.000000000
179,2013-04-21 20:57:18,1378762,DOMINGO,21,1,T-6-327-PO-15,,0 days 06:29:21.000000000
178,2013-04-21 21:59:36,1378762,DOMINGO,21,2,L-1-25-SN-10,E-5-30-OP-20,0 days 01:02:18.000000000
