,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
96252,2013-09-23 08:00:29,74940252,LABORAL,1,1,L-6-11-NS-25,,-6 days +15:27:32.000000000
96251,2013-09-25 08:20:38,74940252,LABORAL,2,1,L-6-2-OP-5,L-6-39-PO-10,2 days 00:20:09.000000000
96250,2013-09-25 08:32:38,74940252,LABORAL,2,2,L-6-11-NS-25,,0 days 00:12:00.000000000
96249,2013-09-26 08:12:41,74940252,LABORAL,3,1,L-6-21-SN-35,,0 days 23:40:03.000000000
96248,2013-09-27 08:07:17,74940252,LABORAL,4,1,L-6-2-OP-5,L-6-39-PO-10,0 days 23:54:36.000000000
96247,2013-09-27 08:18:21,74940252,LABORAL,4,2,L-6-11-NS-25,L-6-39-PO-25,0 days 00:11:04.000000000
96246,2013-09-27 12:45:58,74940252,LABORAL,5,1,L-6-39-OP-30,L-6-21-NS-15,0 days 04:27:37.000000000
96245,2013-09-28 22:09:13,74940252,SABADO,6,1,T-3-12-OP-70,,1 days 09:23:15.000000000
96244,2013-09-29 17:54:16,74940252,DOMINGO,7,1,SANTA ANA,ESTACION CENTRAL,0 days 19:45:03.000000000
96243,2013-09-29 20:53:17,74940252,DOMINGO,8,1,ESTACION CENTRAL,BAQUEDANO,0 days 02:59:01.000000000
96242,2013-09-29 21:08:34,74940252,DOMINGO,8,2,E-14-134-SN-30,T-4-21-OP-2,0 days 00:15:17.000000000
