,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
99491,2013-04-14 11:06:36,74940252,DOMINGO,1,1,L-6-21-SN-25,E-20-185-NS-5,-8 days +19:09:24.000000000
99490,2013-04-14 14:02:47,74940252,DOMINGO,2,1,E-14-134-SN-30,,0 days 02:56:11.000000000
99489,2013-04-14 14:45:00,74940252,DOMINGO,2,2,,,0 days 00:42:13.000000000
99488,2013-04-17 20:40:10,74940252,LABORAL,3,1,L-6-21-SN-25,L-6-21-SN-35,3 days 05:55:10.000000000
99487,2013-04-19 12:12:35,74940252,LABORAL,4,1,L-6-21-SN-35,L-6-23-NS-55,1 days 15:32:25.000000000
99486,2013-04-19 12:27:09,74940252,LABORAL,4,2,T-6-45-PO-20,T-2-3-NS-70,0 days 00:14:34.000000000
99485,2013-04-19 13:24:54,74940252,LABORAL,5,1,T-2-3-NS-70,E-20-174-NS-5,0 days 00:57:45.000000000
99484,2013-04-19 17:44:39,74940252,LABORAL,6,1,T-20-73-OP-15,,0 days 04:19:45.000000000
99483,2013-04-20 07:49:12,74940252,SABADO,7,1,UNIVERSIDAD DE SANTIAGO,BAQUEDANO,0 days 14:04:33.000000000
99482,2013-04-20 08:30:46,74940252,SABADO,7,2,E-14-134-SN-30,L-6-2-OP-5,0 days 00:41:34.000000000
99481,2013-04-21 11:57:01,74940252,DOMINGO,8,1,L-6-21-SN-35,T-20-182-PO-40,1 days 03:26:15.000000000
99480,2013-04-21 14:03:41,74940252,DOMINGO,9,1,LA MONEDA,BAQUEDANO,0 days 02:06:40.000000000
99479,2013-04-21 14:20:36,74940252,DOMINGO,9,2,E-14-134-SN-30,L-6-2-OP-5,0 days 00:16:55.000000000
