,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
92604,2013-09-27 15:45:04,73856788,LABORAL,1,1,T-18-156-OP-48,E-18-156-OP-70,-1 days +20:45:41.000000000
92603,2013-09-27 15:57:09,73856788,LABORAL,1,2,IRARRAZAVAL,MIRADOR,0 days 00:12:05.000000000
92602,2013-09-27 18:17:46,73856788,LABORAL,2,1,MIRADOR,IRARRAZAVAL,0 days 02:20:37.000000000
92601,2013-09-27 18:43:40,73856788,LABORAL,2,2,E-18-156-PO-5,T-18-156-PO-33,0 days 00:25:54.000000000
92600,2013-09-28 14:20:22,73856788,SABADO,3,1,T-18-156-OP-40,E-18-156-OP-70,0 days 19:36:42.000000000
92599,2013-09-28 14:33:29,73856788,SABADO,3,2,IRARRAZAVAL,PLAZA DE ARMAS,0 days 00:13:07.000000000
92598,2013-09-28 18:37:15,73856788,SABADO,4,1,PLAZA DE ARMAS,IRARRAZAVAL,0 days 04:03:46.000000000
92597,2013-09-28 19:01:33,73856788,SABADO,4,2,E-18-156-PO-5,T-18-156-PO-33,0 days 00:24:18.000000000
92596,2013-09-29 13:16:15,73856788,DOMINGO,5,1,PAJARITOS,IRARRAZAVAL,0 days 18:14:42.000000000
92595,2013-09-29 13:47:44,73856788,DOMINGO,5,2,E-18-156-PO-5,,0 days 00:31:29.000000000
