,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
15887,2013-09-23 07:39:58,27141900,LABORAL,1,1,L-25-8-NS-5,E-20-53-OP-35,-5 days +19:23:40.000000000
15886,2013-09-23 08:03:58,27141900,LABORAL,1,2,SANTA LUCIA,ESCUELA MILITAR,0 days 00:24:00.000000000
15885,2013-09-23 08:32:59,27141900,LABORAL,2,1,E-17-12-NS-20,,0 days 00:29:01.000000000
15884,2013-09-23 13:08:33,27141900,LABORAL,3,1,ESCUELA MILITAR,ALCANTARA,0 days 04:35:34.000000000
15883,2013-09-23 17:37:03,27141900,LABORAL,4,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,0 days 04:28:30.000000000
15882,2013-09-23 18:12:07,27141900,LABORAL,5,1,UNIVERSIDAD DE CHILE,SAN MIGUEL,0 days 00:35:04.000000000
15881,2013-09-24 07:44:24,27141900,LABORAL,6,1,T-25-228-SN-45,T-20-207-OP-12,0 days 13:32:17.000000000
15880,2013-09-24 08:14:00,27141900,LABORAL,6,2,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 00:29:36.000000000
15879,2013-09-24 17:45:07,27141900,LABORAL,7,1,ESCUELA MILITAR,SAN MIGUEL,0 days 09:31:07.000000000
15878,2013-09-25 08:20:16,27141900,LABORAL,8,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 14:35:09.000000000
15877,2013-09-25 17:41:20,27141900,LABORAL,9,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,0 days 09:21:04.000000000
15876,2013-09-26 08:05:01,27141900,LABORAL,10,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 14:23:41.000000000
15875,2013-09-26 17:37:04,27141900,LABORAL,11,1,ESCUELA MILITAR,REPUBLICA,0 days 09:32:03.000000000
15874,2013-09-26 19:06:54,27141900,LABORAL,12,1,REPUBLICA,UNIVERSIDAD DE CHILE,0 days 01:29:50.000000000
15873,2013-09-27 07:58:03,27141900,LABORAL,13,1,T-25-228-SN-45,T-20-207-OP-12,0 days 12:51:09.000000000
15872,2013-09-27 08:25:04,27141900,LABORAL,13,2,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 00:27:01.000000000
15871,2013-09-27 17:36:45,27141900,LABORAL,14,1,ESCUELA MILITAR,TOBALABA,0 days 09:11:41.000000000
15870,2013-09-27 20:54:46,27141900,LABORAL,15,1,TOBALABA,SAN MIGUEL,0 days 03:18:01.000000000
15869,2013-09-28 10:37:09,27141900,SABADO,16,1,SAN MIGUEL,CIUDAD DEL NINO,0 days 13:42:23.000000000
15868,2013-09-28 11:48:36,27141900,SABADO,17,1,T-25-228-SN-5,T-25-228-SN-45,0 days 01:11:27.000000000
15867,2013-09-29 12:51:13,27141900,DOMINGO,18,1,CAMINO AGRICOLA,BELLAVISTA DE LA FLORIDA,1 days 01:02:37.000000000
15866,2013-09-29 14:06:02,27141900,DOMINGO,19,1,BELLAVISTA DE LA FLORIDA,,0 days 01:14:49.000000000
15865,2013-09-29 14:06:07,27141900,DOMINGO,20,1,BELLAVISTA DE LA FLORIDA,CARLOS VALDOVINOS,0 days 00:00:05.000000000
15864,2013-09-29 14:27:59,27141900,DOMINGO,20,2,L-31-24-SN-5,T-21-134-NS-35,0 days 00:21:52.000000000
