,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
48771,2013-09-23 08:11:13,65765652,LABORAL,1,1,IRARRAZAVAL,UNIVERSIDAD DE CHILE,-5 days +13:42:58.000000000
48770,2013-09-23 18:05:52,65765652,LABORAL,2,1,UNIVERSIDAD DE CHILE,PEDRERO,0 days 09:54:39.000000000
48769,2013-09-23 18:55:11,65765652,LABORAL,2,2,T-33-134-SN-90,,0 days 00:49:19.000000000
48768,2013-09-24 20:08:35,65765652,LABORAL,3,1,PLAZA DE ARMAS,BELLAS ARTES,1 days 01:13:24.000000000
48767,2013-09-25 08:27:04,65765652,LABORAL,4,1,IRARRAZAVAL,UNIVERSIDAD DE CHILE,0 days 12:18:29.000000000
48766,2013-09-25 17:58:22,65765652,LABORAL,5,1,UNIVERSIDAD DE CHILE,PEDRERO,0 days 09:31:18.000000000
48765,2013-09-25 18:51:16,65765652,LABORAL,6,1,T-31-89-OP-35,,0 days 00:52:54.000000000
48764,2013-09-26 08:07:59,65765652,LABORAL,7,1,IRARRAZAVAL,UNIVERSIDAD DE CHILE,0 days 13:16:43.000000000
48763,2013-09-26 17:57:25,65765652,LABORAL,8,1,UNIVERSIDAD DE CHILE,PEDRERO,0 days 09:49:26.000000000
48762,2013-09-26 19:05:15,65765652,LABORAL,9,1,T-31-89-OP-35,,0 days 01:07:50.000000000
48761,2013-09-27 08:24:39,65765652,LABORAL,10,1,IRARRAZAVAL,UNIVERSIDAD DE CHILE,0 days 13:19:24.000000000
48760,2013-09-27 17:43:32,65765652,LABORAL,11,1,UNIVERSIDAD DE CHILE,TOBALABA,0 days 09:18:53.000000000
48759,2013-09-27 21:02:25,65765652,LABORAL,12,1,TOBALABA,IRARRAZAVAL,0 days 03:18:53.000000000
