,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
37904,2013-04-15 09:23:48,54364058,LABORAL,1,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,-5 days +14:10:54.000000000
37903,2013-04-15 19:57:31,54364058,LABORAL,2,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 10:33:43.000000000
37902,2013-04-16 09:20:57,54364058,LABORAL,3,1,ESCUELA MILITAR,SANTA LUCIA,0 days 13:23:26.000000000
37901,2013-04-16 20:02:22,54364058,LABORAL,4,1,SANTA LUCIA,ESCUELA MILITAR,0 days 10:41:25.000000000
37900,2013-04-17 09:20:47,54364058,LABORAL,5,1,ESCUELA MILITAR,SANTA LUCIA,0 days 13:18:25.000000000
37899,2013-04-17 20:43:29,54364058,LABORAL,6,1,SANTA LUCIA,IRARRAZAVAL,0 days 11:22:42.000000000
37898,2013-04-17 21:00:23,54364058,LABORAL,6,2,E-18-156-PO-5,T-18-156-PO-35,0 days 00:16:54.000000000
37897,2013-04-18 09:08:57,54364058,LABORAL,7,1,T-18-156-OP-40,E-18-156-OP-70,0 days 12:08:34.000000000
37896,2013-04-18 09:21:35,54364058,LABORAL,7,2,IRARRAZAVAL,UNIVERSIDAD DE CHILE,0 days 00:12:38.000000000
37895,2013-04-18 19:04:21,54364058,LABORAL,8,1,UNIVERSIDAD DE CHILE,TOBALABA,0 days 09:42:46.000000000
37894,2013-04-18 19:21:28,54364058,LABORAL,8,2,E-14-170-NS-5,,0 days 00:17:07.000000000
37893,2013-04-19 09:21:38,54364058,LABORAL,9,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,0 days 14:00:10.000000000
37892,2013-04-19 18:10:48,54364058,LABORAL,10,1,UNIVERSIDAD DE CHILE,TOBALABA,0 days 08:49:10.000000000
37891,2013-04-19 19:50:45,54364058,LABORAL,11,1,TOBALABA,ESCUELA MILITAR,0 days 01:39:57.000000000
37890,2013-04-20 13:52:55,54364058,SABADO,12,1,T-18-159-SN-20,T-14-123-SN-45,0 days 18:02:10.000000000
37889,2013-04-20 14:46:56,54364058,SABADO,12,2,E-14-170-NS-5,,0 days 00:54:01.000000000
