,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
50691,2013-04-15 18:36:17,65765652,LABORAL,1,1,PEDRERO,UNIVERSIDAD CATOLICA,-5 days +23:34:20.000000000
50690,2013-04-15 21:50:16,65765652,LABORAL,2,1,UNIVERSIDAD CATOLICA,PEDRERO,0 days 03:13:59.000000000
50689,2013-04-16 11:37:48,65765652,LABORAL,3,1,PEDRERO,PLAZA DE ARMAS,0 days 13:47:32.000000000
50688,2013-04-16 14:19:45,65765652,LABORAL,4,1,PLAZA DE ARMAS,PEDRERO,0 days 02:41:57.000000000
50687,2013-04-17 18:13:55,65765652,LABORAL,5,1,PEDRERO,UNIVERSIDAD CATOLICA,1 days 03:54:10.000000000
50686,2013-04-17 21:35:21,65765652,LABORAL,6,1,UNIVERSIDAD CATOLICA,PEDRERO,0 days 03:21:26.000000000
50685,2013-04-18 14:04:52,65765652,LABORAL,7,1,DEPARTAMENTAL,PATRONATO,0 days 16:29:31.000000000
50684,2013-04-18 16:43:11,65765652,LABORAL,8,1,PATRONATO,DEPARTAMENTAL,0 days 02:38:19.000000000
50683,2013-04-19 08:15:00,65765652,LABORAL,9,1,IRARRAZAVAL,SALVADOR,0 days 15:31:49.000000000
50682,2013-04-19 10:40:04,65765652,LABORAL,10,1,SALVADOR,IRARRAZAVAL,0 days 02:25:04.000000000
