,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
16467,2013-04-15 07:44:31,27141900,LABORAL,1,1,T-25-228-SN-50,T-20-174-SN-5,-6 days +16:19:29.000000000
16466,2013-04-15 08:33:45,27141900,LABORAL,1,2,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 00:49:14.000000000
16465,2013-04-15 18:21:39,27141900,LABORAL,2,1,ESCUELA MILITAR,LA MONEDA,0 days 09:47:54.000000000
16464,2013-04-15 18:57:41,27141900,LABORAL,2,2,T-20-203-NS-25,T-25-228-NS-15,0 days 00:36:02.000000000
16463,2013-04-16 18:15:21,27141900,LABORAL,3,1,ESCUELA MILITAR,LA MONEDA,0 days 23:17:40.000000000
16462,2013-04-16 18:51:05,27141900,LABORAL,3,2,E-20-203-NS-35,T-25-228-NS-10,0 days 00:35:44.000000000
16461,2013-04-17 07:52:42,27141900,LABORAL,4,1,T-25-228-SN-50,T-20-200-SN-59,0 days 13:01:37.000000000
16460,2013-04-17 08:19:51,27141900,LABORAL,4,2,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 00:27:09.000000000
16459,2013-04-17 18:13:27,27141900,LABORAL,5,1,ESCUELA MILITAR,LA MONEDA,0 days 09:53:36.000000000
16458,2013-04-17 18:43:42,27141900,LABORAL,5,2,E-20-203-NS-35,T-25-228-NS-10,0 days 00:30:15.000000000
16457,2013-04-18 07:57:42,27141900,LABORAL,6,1,T-25-228-SN-50,T-20-200-SN-59,0 days 13:14:00.000000000
16456,2013-04-18 08:30:13,27141900,LABORAL,6,2,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 00:32:31.000000000
16455,2013-04-18 18:16:27,27141900,LABORAL,7,1,ESCUELA MILITAR,EL LLANO,0 days 09:46:14.000000000
16454,2013-04-19 08:27:19,27141900,LABORAL,8,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 14:10:52.000000000
16453,2013-04-19 18:16:19,27141900,LABORAL,9,1,ESCUELA MILITAR,LA MONEDA,0 days 09:49:00.000000000
16452,2013-04-19 18:53:29,27141900,LABORAL,9,2,E-20-203-NS-35,,0 days 00:37:10.000000000
