,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
34340,2013-09-23 09:47:38,54161564,LABORAL,1,1,T-18-156-OP-40,E-18-156-OP-70,-4 days +02:42:28.000000000
34339,2013-09-23 09:59:25,54161564,LABORAL,1,2,IRARRAZAVAL,UNIVERSIDAD DE CHILE,0 days 00:11:47.000000000
34338,2013-09-23 10:37:55,54161564,LABORAL,2,1,T-20-53-OP-55,E-20-53-OP-130,0 days 00:38:30.000000000
34337,2013-09-23 10:49:12,54161564,LABORAL,2,2,E-20-53-OP-125,L-13-18-OP-20,0 days 00:11:17.000000000
34336,2013-09-23 19:36:01,54161564,LABORAL,3,1,L-13-18-OP-20,,0 days 08:46:49.000000000
34335,2013-09-26 20:14:26,54161564,LABORAL,4,1,T-13-94-PO-20,E-13-278-PO-15,3 days 00:38:25.000000000
34334,2013-09-26 20:50:45,54161564,LABORAL,5,1,L-13-18-OP-20,T-13-94-OP-25,0 days 00:36:19.000000000
34333,2013-09-27 10:57:01,54161564,LABORAL,6,1,T-13-94-PO-25,E-7-53-PO-25,0 days 14:06:16.000000000
34332,2013-09-27 12:01:25,54161564,LABORAL,7,1,E-7-53-PO-20,T-20-53-PO-85,0 days 01:04:24.000000000
34331,2013-09-27 12:48:02,54161564,LABORAL,7,2,UNIVERSIDAD DE CHILE,,0 days 00:46:37.000000000
34330,2013-09-27 20:22:27,54161564,LABORAL,8,1,T-13-97-NS-5,,0 days 07:34:25.000000000
34329,2013-09-28 08:13:39,54161564,SABADO,9,1,L-13-69-PO-15,L-13-30-SN-43,0 days 11:51:12.000000000
34328,2013-09-28 15:03:07,54161564,SABADO,10,1,T-13-94-PO-25,E-13-278-PO-15,0 days 06:49:28.000000000
34341,2013-09-28 15:28:27,54161564,SABADO,10,2,E-13-54-SN-5,,0 days 00:25:20.000000000
