,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
79616,2013-09-23 08:40:29,70877364,LABORAL,1,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,-7 days +11:44:28.000000000
79615,2013-09-23 21:17:27,70877364,LABORAL,2,1,UNIVERSIDAD DE CHILE,TOBALABA,0 days 12:36:58.000000000
79614,2013-09-23 21:35:27,70877364,LABORAL,2,2,E-14-170-NS-5,,0 days 00:18:00.000000000
79613,2013-09-24 09:03:13,70877364,LABORAL,3,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,0 days 11:27:46.000000000
79612,2013-09-24 20:07:11,70877364,LABORAL,4,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 11:03:58.000000000
79611,2013-09-25 09:03:16,70877364,LABORAL,5,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,0 days 12:56:05.000000000
79610,2013-09-25 18:43:02,70877364,LABORAL,6,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 09:39:46.000000000
79609,2013-09-26 09:10:20,70877364,LABORAL,7,1,ESCUELA MILITAR,UNIVERSIDAD DE CHILE,0 days 14:27:18.000000000
79608,2013-09-26 20:24:24,70877364,LABORAL,8,1,UNIVERSIDAD DE CHILE,ESCUELA MILITAR,0 days 11:14:04.000000000
79607,2013-09-27 17:05:52,70877364,LABORAL,9,1,PLAZA DE ARMAS,,0 days 20:41:28.000000000
