,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
95675,2013-04-14 14:56:27,73856788,DOMINGO,1,1,T-18-156-OP-45,T-20-73-OP-30,-6 days +20:46:17.000000000
95674,2013-04-14 16:30:22,73856788,DOMINGO,2,1,T-20-174-SN-20,T-1-3-SN-38,0 days 01:33:55.000000000
95673,2013-04-14 20:14:00,73856788,DOMINGO,3,1,T-1-3-NS-10,T-20-199-NS-10,0 days 03:43:38.000000000
95672,2013-04-14 20:41:24,73856788,DOMINGO,3,2,T-20-192-PO-5,T-18-156-PO-33,0 days 00:27:24.000000000
95671,2013-04-15 13:04:04,73856788,LABORAL,4,1,T-18-157-PO-45,E-18-157-PO-90,0 days 16:22:40.000000000
95670,2013-04-15 14:49:00,73856788,LABORAL,5,1,E-18-157-OP-10,T-18-157-OP-20,0 days 01:44:56.000000000
95669,2013-04-15 15:01:33,73856788,LABORAL,5,2,T-18-157-PO-80,L-18-18-NS-3,0 days 00:12:33.000000000
95668,2013-04-15 18:24:28,73856788,LABORAL,6,1,L-18-18-SN-5,T-18-157-OP-55,0 days 03:22:55.000000000
95667,2013-04-16 15:46:21,73856788,LABORAL,7,1,T-18-127-SN-10,T-18-127-SN-30,0 days 21:21:53.000000000
95666,2013-04-16 15:54:41,73856788,LABORAL,7,2,T-18-157-PO-45,L-18-18-NS-3,0 days 00:08:20.000000000
95665,2013-04-16 18:40:37,73856788,LABORAL,8,1,T-18-157-PO-80,L-18-18-NS-40,0 days 02:45:56.000000000
95664,2013-04-16 18:46:46,73856788,LABORAL,8,2,E-18-156-OP-5,T-18-156-OP-45,0 days 00:06:09.000000000
95663,2013-04-18 13:48:58,73856788,LABORAL,9,1,T-18-156-OP-38,T-20-73-OP-30,1 days 19:02:12.000000000
95662,2013-04-18 17:38:52,73856788,LABORAL,10,1,T-20-182-PO-45,T-18-156-PO-33,0 days 03:49:54.000000000
95661,2013-04-19 12:27:07,73856788,LABORAL,11,1,T-18-156-PO-30,T-18-156-PO-63,0 days 18:48:15.000000000
95660,2013-04-19 12:44:13,73856788,LABORAL,11,2,L-18-18-SN-45,T-18-161-SN-2,0 days 00:17:06.000000000
95659,2013-04-19 16:44:47,73856788,LABORAL,12,1,T-18-157-PO-80,L-18-18-NS-40,0 days 04:00:34.000000000
95658,2013-04-19 16:53:32,73856788,LABORAL,12,2,E-18-156-OP-5,T-18-156-OP-48,0 days 00:08:45.000000000
95657,2013-04-20 19:59:38,73856788,SABADO,13,1,T-18-156-PO-30,T-18-156-PO-63,1 days 03:06:06.000000000
95656,2013-04-20 20:12:25,73856788,SABADO,14,1,L-18-18-SN-45,T-18-157-OP-50,0 days 00:12:47.000000000
95655,2013-04-21 16:22:24,73856788,DOMINGO,15,1,T-18-127-SN-20,,0 days 20:09:59.000000000
