,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
78079,2013-09-23 06:35:45,70321252,LABORAL,1,1,L-34-116-OP-15,L-34-52-PO-5,-5 days +12:18:08.000000000
78078,2013-09-23 17:14:16,70321252,LABORAL,2,1,L-34-52-PO-5,L-34-37-PO-20,0 days 10:38:31.000000000
78077,2013-09-24 13:03:42,70321252,LABORAL,3,1,L-34-116-OP-15,T-34-269-SN-5,0 days 19:49:26.000000000
78076,2013-09-24 17:53:26,70321252,LABORAL,4,1,L-34-41-PO-120,L-34-37-PO-20,0 days 04:49:44.000000000
78075,2013-09-25 06:40:05,70321252,LABORAL,5,1,L-34-2-OP-40,L-34-41-OP-5,0 days 12:46:39.000000000
78074,2013-09-25 17:21:47,70321252,LABORAL,6,1,L-34-41-OP-5,L-34-2-PO-35,0 days 10:41:42.000000000
78073,2013-09-26 06:34:31,70321252,LABORAL,7,1,L-34-116-OP-15,,0 days 13:12:44.000000000
78072,2013-09-26 17:28:46,70321252,LABORAL,8,1,L-34-52-PO-5,L-34-37-PO-20,0 days 10:54:15.000000000
78071,2013-09-27 17:25:21,70321252,LABORAL,9,1,L-34-52-PO-5,,0 days 23:56:35.000000000
78070,2013-09-28 06:47:25,70321252,SABADO,10,1,L-34-116-OP-15,L-34-41-OP-5,0 days 13:22:04.000000000
78069,2013-09-28 17:41:29,70321252,SABADO,11,1,L-34-41-PO-10,,0 days 10:54:04.000000000
