,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
177,2013-04-15 06:57:07,1355530,LABORAL,1,1,L-34-58-SN-75,L-34-22-SN-49,-6 days +19:03:46.000000000
176,2013-04-15 07:07:51,1355530,LABORAL,1,2,HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,0 days 00:10:44.000000000
175,2013-04-15 13:22:19,1355530,LABORAL,2,1,CRISTOBAL COLON,HOSPITAL SOTERO DEL RIO,0 days 06:14:28.000000000
174,2013-04-15 14:03:17,1355530,LABORAL,2,2,T-34-217-PO-35,L-34-58-NS-70,0 days 00:40:58.000000000
173,2013-04-16 07:07:43,1355530,LABORAL,3,1,L-34-58-SN-75,L-34-22-SN-47,0 days 17:04:26.000000000
172,2013-04-16 07:16:50,1355530,LABORAL,3,2,HOSPITAL SOTERO DEL RIO,PEDRO DE VALDIVIA,0 days 00:09:07.000000000
171,2013-04-16 16:46:29,1355530,LABORAL,4,1,PEDRO DE VALDIVIA,ELISA CORREA,0 days 09:29:39.000000000
170,2013-04-16 17:30:17,1355530,LABORAL,4,2,L-34-52-PO-5,L-34-52-PO-15,0 days 00:43:48.000000000
169,2013-04-16 17:42:14,1355530,LABORAL,4,3,L-34-58-NS-7,L-34-58-NS-70,0 days 00:11:57.000000000
168,2013-04-17 07:08:08,1355530,LABORAL,5,1,,,0 days 13:25:54.000000000
167,2013-04-17 07:16:55,1355530,LABORAL,5,2,HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,0 days 00:08:47.000000000
166,2013-04-17 13:36:06,1355530,LABORAL,6,1,CRISTOBAL COLON,HOSPITAL SOTERO DEL RIO,0 days 06:19:11.000000000
165,2013-04-17 14:12:28,1355530,LABORAL,6,2,T-34-217-PO-35,,0 days 00:36:22.000000000
164,2013-04-18 07:15:14,1355530,LABORAL,7,1,,,0 days 17:02:46.000000000
163,2013-04-18 07:24:14,1355530,LABORAL,7,2,HOSPITAL SOTERO DEL RIO,PLAZA DE ARMAS,0 days 00:09:00.000000000
162,2013-04-18 16:14:19,1355530,LABORAL,8,1,PLAZA DE ARMAS,ELISA CORREA,0 days 08:50:05.000000000
161,2013-04-18 16:53:55,1355530,LABORAL,8,2,L-34-52-PO-5,L-34-58-NS-30,0 days 00:39:36.000000000
160,2013-04-18 17:09:59,1355530,LABORAL,8,3,L-34-58-NS-30,L-34-58-NS-70,0 days 00:16:04.000000000
159,2013-04-19 06:46:00,1355530,LABORAL,9,1,L-34-58-SN-75,T-34-270-NS-10,0 days 13:36:01.000000000
158,2013-04-19 06:56:09,1355530,LABORAL,9,2,HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,0 days 00:10:09.000000000
157,2013-04-19 12:34:37,1355530,LABORAL,10,1,CRISTOBAL COLON,VESPUCIO NORTE,0 days 05:38:28.000000000
156,2013-04-19 13:19:25,1355530,LABORAL,10,2,I-4-12-PO-11,L-6-19-PO-3,0 days 00:44:48.000000000
155,2013-04-19 14:24:31,1355530,LABORAL,11,1,L-6-44-SN-15,L-6-21-SN-35,0 days 01:05:06.000000000
154,2013-04-19 14:36:49,1355530,LABORAL,11,2,L-6-21-NS-30,L-6-21-NS-70,0 days 00:12:18.000000000
153,2013-04-19 14:58:04,1355530,LABORAL,11,3,T-6-45-PO-5,T-2-7-PO-15,0 days 00:21:15.000000000
152,2013-04-19 17:02:11,1355530,LABORAL,12,1,T-2-7-PO-6,I-4-12-PO-11,0 days 02:04:07.000000000
151,2013-04-19 17:12:59,1355530,LABORAL,12,2,VESPUCIO NORTE,HOSPITAL SOTERO DEL RIO,0 days 00:10:48.000000000
150,2013-04-19 18:13:48,1355530,LABORAL,12,3,T-34-270-SN-45,L-34-58-NS-70,0 days 01:00:49.000000000
149,2013-04-20 06:27:17,1355530,SABADO,13,1,L-34-58-SN-85,T-34-270-NS-10,0 days 12:13:29.000000000
148,2013-04-20 06:34:48,1355530,SABADO,13,2,HOSPITAL SOTERO DEL RIO,LOS LEONES,0 days 00:07:31.000000000
147,2013-04-20 09:24:44,1355530,SABADO,14,1,T-14-124-PO-5,T-34-269-NS-15,0 days 02:49:56.000000000
146,2013-04-20 10:39:02,1355530,SABADO,14,2,L-34-99-SN-5,L-34-58-NS-70,0 days 01:14:18.000000000
