,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
69431,2013-09-23 11:44:12,68660100,LABORAL,1,1,L-34-70-PO-70,L-33-9-NS-6,-5 days +18:40:43.000000000
69430,2013-09-23 17:36:25,68660100,LABORAL,2,1,L-33-9-NS-6,L-34-70-OP-75,0 days 05:52:13.000000000
69429,2013-09-24 11:47:18,68660100,LABORAL,3,1,L-34-70-PO-60,T-33-134-SN-55,0 days 18:10:53.000000000
69428,2013-09-24 17:46:47,68660100,LABORAL,4,1,L-33-9-NS-6,L-34-70-OP-75,0 days 05:59:29.000000000
69427,2013-09-25 11:38:21,68660100,LABORAL,5,1,L-34-70-PO-70,T-33-134-SN-55,0 days 17:51:34.000000000
69426,2013-09-25 17:51:50,68660100,LABORAL,6,1,L-33-9-NS-6,L-34-70-OP-75,0 days 06:13:29.000000000
69425,2013-09-26 11:44:35,68660100,LABORAL,7,1,L-34-70-PO-70,T-33-134-SN-55,0 days 17:52:45.000000000
69424,2013-09-26 18:24:31,68660100,LABORAL,8,1,L-33-9-NS-6,L-34-70-OP-75,0 days 06:39:56.000000000
69423,2013-09-27 11:46:36,68660100,LABORAL,9,1,L-34-70-PO-60,L-33-9-NS-6,0 days 17:22:05.000000000
69422,2013-09-27 17:36:19,68660100,LABORAL,10,1,L-33-9-NS-6,L-34-70-OP-75,0 days 05:49:43.000000000
