,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
26,2013-09-23 20:58:46,1132106,LABORAL,1,1,T-22-205-SN-65,E-20-190-SN-40,0 days 00:00:00.000000000
25,2013-09-23 21:24:25,1132106,LABORAL,1,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:25:39.000000000
24,2013-09-24 07:15:40,1132106,LABORAL,2,1,T-15-135-OP-110,T-4-19-NS-100,0 days 09:51:15.000000000
23,2013-09-24 08:00:08,1132106,LABORAL,3,1,E-20-199-NS-2,T-24-205-NS-20,0 days 00:44:28.000000000
22,2013-09-24 09:13:22,1132106,LABORAL,3,2,L-24-26-OP-25,,0 days 01:13:14.000000000
21,2013-09-24 21:12:10,1132106,LABORAL,4,1,T-22-205-SN-55,E-20-190-SN-40,0 days 11:58:48.000000000
20,2013-09-24 21:41:09,1132106,LABORAL,4,2,E-20-289-PO-5,T-15-135-PO-5,0 days 00:28:59.000000000
19,2013-09-25 06:53:03,1132106,LABORAL,5,1,T-15-135-OP-110,T-4-19-NS-100,0 days 09:11:54.000000000
18,2013-09-25 07:08:48,1132106,LABORAL,5,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:15:45.000000000
17,2013-09-25 20:51:51,1132106,LABORAL,6,1,T-22-205-SN-65,E-20-190-SN-40,0 days 13:43:03.000000000
16,2013-09-25 21:20:23,1132106,LABORAL,6,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:28:32.000000000
15,2013-09-26 07:09:30,1132106,LABORAL,7,1,T-15-135-OP-110,T-4-19-NS-100,0 days 09:49:07.000000000
14,2013-09-26 07:25:54,1132106,LABORAL,7,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:16:24.000000000
13,2013-09-26 20:57:48,1132106,LABORAL,8,1,T-22-205-SN-65,E-20-190-SN-40,0 days 13:31:54.000000000
12,2013-09-26 21:31:12,1132106,LABORAL,8,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:33:24.000000000
11,2013-09-27 07:36:13,1132106,LABORAL,9,1,T-15-135-OP-110,T-14-121-OP-10,0 days 10:05:01.000000000
10,2013-09-27 08:39:19,1132106,LABORAL,10,1,T-14-131-PO-40,T-15-135-PO-5,0 days 01:03:06.000000000
9,2013-09-27 09:05:57,1132106,LABORAL,11,1,T-15-135-OP-110,T-4-19-NS-100,0 days 00:26:38.000000000
8,2013-09-27 09:29:40,1132106,LABORAL,11,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:23:43.000000000
7,2013-09-27 21:03:27,1132106,LABORAL,12,1,T-22-205-SN-65,E-20-190-SN-40,0 days 11:33:47.000000000
6,2013-09-27 21:36:19,1132106,LABORAL,12,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:32:52.000000000
5,2013-09-28 07:07:06,1132106,SABADO,13,1,T-15-135-OP-110,T-4-19-NS-100,0 days 09:30:47.000000000
4,2013-09-28 07:32:43,1132106,SABADO,13,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:25:37.000000000
3,2013-09-29 06:48:11,1132106,DOMINGO,14,1,T-22-205-SN-65,T-20-190-SN-35,0 days 23:15:28.000000000
2,2013-09-29 07:49:32,1132106,DOMINGO,15,1,E-20-291-PO-20,T-15-135-PO-5,0 days 01:01:21.000000000
1,2013-09-29 19:38:31,1132106,DOMINGO,16,1,T-15-135-OP-110,T-4-19-NS-100,0 days 11:48:59.000000000
0,2013-09-29 19:58:57,1132106,DOMINGO,16,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:20:26.000000000
