,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
80416,2013-04-14 07:03:20,70321252,DOMINGO,1,1,L-34-37-PO-20,T-34-270-SN-60,-5 days +13:11:08.000000000
80415,2013-04-14 17:02:00,70321252,DOMINGO,2,1,L-34-52-PO-5,L-34-117-NS-10,0 days 09:58:40.000000000
80414,2013-04-15 15:06:29,70321252,LABORAL,3,1,LAS MERCEDES,ELISA CORREA,0 days 22:04:29.000000000
80413,2013-04-15 23:04:29,70321252,LABORAL,4,1,L-34-52-PO-5,L-34-37-PO-15,0 days 07:58:00.000000000
80412,2013-04-16 06:35:31,70321252,LABORAL,5,1,L-34-114-NS-5,L-34-52-PO-5,0 days 07:31:02.000000000
80411,2013-04-16 16:37:44,70321252,LABORAL,6,1,L-34-52-PO-5,L-34-2-PO-35,0 days 10:02:13.000000000
80410,2013-04-18 06:34:30,70321252,LABORAL,7,1,L-34-114-NS-5,L-34-52-PO-5,1 days 13:56:46.000000000
80409,2013-04-18 16:41:21,70321252,LABORAL,8,1,L-34-52-PO-5,L-34-117-NS-10,0 days 10:06:51.000000000
80408,2013-04-19 06:35:42,70321252,LABORAL,9,1,L-34-2-OP-50,L-34-52-PO-5,0 days 13:54:21.000000000
80407,2013-04-19 17:03:46,70321252,LABORAL,10,1,L-34-52-PO-5,,0 days 10:28:04.000000000
80406,2013-04-20 06:34:40,70321252,SABADO,11,1,L-34-2-OP-50,,0 days 13:30:54.000000000
