,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
23,2013-04-14 06:45:44,1132106,DOMINGO,1,1,T-22-205-SN-65,E-20-190-SN-40,0 days 00:00:00.000000000
22,2013-04-14 07:51:52,1132106,DOMINGO,2,1,E-20-291-PO-20,T-15-135-PO-5,0 days 01:06:08.000000000
21,2013-04-14 19:56:47,1132106,DOMINGO,3,1,T-15-135-OP-110,T-4-19-NS-100,0 days 12:04:55.000000000
20,2013-04-14 20:15:25,1132106,DOMINGO,3,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:18:38.000000000
19,2013-04-15 21:04:59,1132106,LABORAL,4,1,T-22-205-SN-65,T-20-190-SN-35,1 days 00:49:34.000000000
18,2013-04-15 21:41:14,1132106,LABORAL,4,2,E-20-289-PO-5,T-15-135-PO-5,0 days 00:36:15.000000000
17,2013-04-16 07:28:39,1132106,LABORAL,5,1,T-15-135-OP-110,T-4-19-NS-100,0 days 09:47:25.000000000
16,2013-04-16 07:53:14,1132106,LABORAL,5,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:24:35.000000000
15,2013-04-16 21:01:21,1132106,LABORAL,6,1,T-22-205-SN-55,E-20-190-SN-40,0 days 13:08:07.000000000
14,2013-04-16 21:31:20,1132106,LABORAL,6,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:29:59.000000000
13,2013-04-17 07:19:15,1132106,LABORAL,7,1,T-15-135-OP-110,T-4-19-NS-100,0 days 09:47:55.000000000
12,2013-04-17 07:43:33,1132106,LABORAL,7,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:24:18.000000000
11,2013-04-17 20:59:14,1132106,LABORAL,8,1,T-22-205-SN-65,E-20-190-SN-40,0 days 13:15:41.000000000
10,2013-04-17 21:33:58,1132106,LABORAL,8,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:34:44.000000000
9,2013-04-18 07:48:06,1132106,LABORAL,9,1,T-15-135-OP-110,T-4-19-NS-100,0 days 10:14:08.000000000
8,2013-04-18 08:17:33,1132106,LABORAL,9,2,E-20-199-NS-2,T-24-205-NS-30,0 days 00:29:27.000000000
7,2013-04-18 20:56:48,1132106,LABORAL,10,1,T-22-205-SN-65,E-20-190-SN-40,0 days 12:39:15.000000000
6,2013-04-18 21:26:19,1132106,LABORAL,10,2,E-20-291-PO-20,T-15-135-PO-5,0 days 00:29:31.000000000
5,2013-04-19 07:08:23,1132106,LABORAL,11,1,T-15-135-OP-105,T-4-19-NS-100,0 days 09:42:04.000000000
4,2013-04-19 07:25:09,1132106,LABORAL,11,2,E-20-199-NS-2,,0 days 00:16:46.000000000
3,2013-04-21 06:42:07,1132106,DOMINGO,12,1,T-22-205-SN-65,E-20-190-SN-40,1 days 23:16:58.000000000
2,2013-04-21 07:12:35,1132106,DOMINGO,12,2,E-20-289-PO-5,T-15-135-PO-5,0 days 00:30:28.000000000
1,2013-04-21 19:35:52,1132106,DOMINGO,13,1,T-15-135-OP-110,T-4-19-NS-100,0 days 12:23:17.000000000
0,2013-04-21 19:55:16,1132106,DOMINGO,13,2,E-20-199-NS-2,T-24-205-NS-20,0 days 00:19:24.000000000
