,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
40572,2013-09-23 07:05:56,59460077,LABORAL,1,1,T-29-238-SN-10,L-20-22-NS-5,-7 days +08:22:59.000000000
40571,2013-09-23 18:04:54,59460077,LABORAL,2,1,L-20-22-NS-5,L-28-8-NS-25,0 days 10:58:58.000000000
40570,2013-09-23 18:29:52,59460077,LABORAL,2,2,L-28-8-NS-25,L-29-12-NS-2,0 days 00:24:58.000000000
40569,2013-09-24 07:09:40,59460077,LABORAL,3,1,T-29-238-SN-10,L-20-22-NS-5,0 days 12:39:48.000000000
40568,2013-09-24 17:56:20,59460077,LABORAL,4,1,L-20-22-NS-5,L-28-11-OP-20,0 days 10:46:40.000000000
40567,2013-09-24 18:34:26,59460077,LABORAL,4,2,L-28-11-OP-20,L-29-12-NS-2,0 days 00:38:06.000000000
40566,2013-09-25 07:06:43,59460077,LABORAL,5,1,T-29-238-SN-10,L-20-22-NS-5,0 days 12:32:17.000000000
40565,2013-09-25 18:06:52,59460077,LABORAL,6,1,L-20-22-NS-5,L-28-11-OP-20,0 days 11:00:09.000000000
40564,2013-09-25 18:51:54,59460077,LABORAL,6,2,L-28-11-OP-20,L-29-12-NS-2,0 days 00:45:02.000000000
40563,2013-09-26 07:02:08,59460077,LABORAL,7,1,T-29-238-SN-10,L-20-18-SN-20,0 days 12:10:14.000000000
40562,2013-09-26 17:50:57,59460077,LABORAL,8,1,L-20-22-NS-5,L-28-11-OP-20,0 days 10:48:49.000000000
40561,2013-09-26 18:43:00,59460077,LABORAL,8,2,L-28-11-OP-20,L-29-12-NS-2,0 days 00:52:03.000000000
40560,2013-09-27 07:11:48,59460077,LABORAL,9,1,T-29-238-SN-10,L-20-18-SN-20,0 days 12:28:48.000000000
40559,2013-09-27 16:47:48,59460077,LABORAL,10,1,L-20-22-NS-5,L-28-11-OP-20,0 days 09:36:00.000000000
40558,2013-09-27 17:23:49,59460077,LABORAL,10,2,L-28-11-OP-20,,0 days 00:36:01.000000000
40557,2013-09-27 19:51:50,59460077,LABORAL,11,1,T-12-12-PO-18,T-29-12-PO-10,0 days 02:28:01.000000000
