,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
71690,2013-04-14 11:35:55,68660100,DOMINGO,1,1,CAMINO AGRICOLA,LAS MERCEDES,-6 days +16:47:15.000000000
71689,2013-04-14 12:15:29,68660100,DOMINGO,1,2,T-34-270-SN-10,L-34-70-PO-70,0 days 00:39:34.000000000
71688,2013-04-14 20:48:06,68660100,DOMINGO,2,1,L-34-70-OP-85,T-34-270-NS-50,0 days 08:32:37.000000000
71687,2013-04-14 20:53:17,68660100,DOMINGO,2,2,LAS MERCEDES,CAMINO AGRICOLA,0 days 00:05:11.000000000
71686,2013-04-15 11:37:14,68660100,LABORAL,3,1,CAMINO AGRICOLA,VICENTE VALDES,0 days 14:43:57.000000000
71685,2013-04-15 17:36:18,68660100,LABORAL,4,1,L-33-23-OP-50,L-33-134-SN-60,0 days 05:59:04.000000000
71684,2013-04-15 17:40:49,68660100,LABORAL,4,2,VICENTE VALDES,CAMINO AGRICOLA,0 days 00:04:31.000000000
71683,2013-04-16 11:33:01,68660100,LABORAL,5,1,CAMINO AGRICOLA,VICENTE VALDES,0 days 17:52:12.000000000
71682,2013-04-16 17:35:40,68660100,LABORAL,6,1,L-33-23-OP-50,I-33-134-SN-67,0 days 06:02:39.000000000
71681,2013-04-16 17:51:53,68660100,LABORAL,6,2,BELLAVISTA DE LA FLORIDA,CAMINO AGRICOLA,0 days 00:16:13.000000000
71680,2013-04-17 11:30:15,68660100,LABORAL,7,1,CAMINO AGRICOLA,VICENTE VALDES,0 days 17:38:22.000000000
71679,2013-04-17 17:36:48,68660100,LABORAL,8,1,L-33-23-OP-50,L-33-134-SN-60,0 days 06:06:33.000000000
71678,2013-04-17 17:40:22,68660100,LABORAL,8,2,VICENTE VALDES,CAMINO AGRICOLA,0 days 00:03:34.000000000
71677,2013-04-18 11:42:53,68660100,LABORAL,9,1,CAMINO AGRICOLA,,0 days 18:02:31.000000000
71676,2013-04-18 17:48:56,68660100,LABORAL,10,1,,,0 days 06:06:03.000000000
71675,2013-04-18 17:52:17,68660100,LABORAL,10,2,VICENTE VALDES,CAMINO AGRICOLA,0 days 00:03:21.000000000
71674,2013-04-19 11:39:38,68660100,LABORAL,11,1,CAMINO AGRICOLA,VICENTE VALDES,0 days 17:47:21.000000000
71673,2013-04-19 16:57:40,68660100,LABORAL,12,1,L-33-9-NS-5,L-34-70-OP-75,0 days 05:18:02.000000000
71672,2013-04-19 17:57:44,68660100,LABORAL,13,1,L-34-70-OP-75,T-34-270-NS-50,0 days 01:00:04.000000000
71671,2013-04-19 18:05:35,68660100,LABORAL,13,2,LAS MERCEDES,CAMINO AGRICOLA,0 days 00:07:51.000000000
71670,2013-04-20 18:48:10,68660100,SABADO,14,1,CAMINO AGRICOLA,,1 days 00:42:35.000000000
