,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
42293,2013-04-15 06:46:45,59460077,LABORAL,1,1,T-29-238-SN-15,E-7-51-SN-30,-7 days +16:37:28.000000000
42292,2013-04-15 07:13:01,59460077,LABORAL,1,2,SAN ALBERTO HURTADO,HERNANDO DE MAGALLANES,0 days 00:26:16.000000000
42291,2013-04-15 18:06:09,59460077,LABORAL,2,1,HERNANDO DE MAGALLANES,SAN ALBERTO HURTADO,0 days 10:53:08.000000000
42290,2013-04-15 18:47:19,59460077,LABORAL,2,2,E-7-51-NS-15,T-29-238-NS-20,0 days 00:41:10.000000000
42289,2013-04-16 06:34:19,59460077,LABORAL,3,1,T-29-238-SN-15,E-7-51-SN-30,0 days 11:47:00.000000000
42288,2013-04-16 06:57:39,59460077,LABORAL,3,2,SAN ALBERTO HURTADO,HERNANDO DE MAGALLANES,0 days 00:23:20.000000000
42287,2013-04-16 17:57:36,59460077,LABORAL,4,1,HERNANDO DE MAGALLANES,SAN ALBERTO HURTADO,0 days 10:59:57.000000000
42286,2013-04-16 18:34:35,59460077,LABORAL,4,2,E-7-51-NS-15,T-29-238-NS-20,0 days 00:36:59.000000000
42285,2013-04-17 06:59:50,59460077,LABORAL,5,1,T-29-238-SN-15,E-7-51-SN-30,0 days 12:25:15.000000000
42284,2013-04-17 07:25:20,59460077,LABORAL,5,2,SAN ALBERTO HURTADO,HERNANDO DE MAGALLANES,0 days 00:25:30.000000000
42283,2013-04-17 18:00:26,59460077,LABORAL,6,1,HERNANDO DE MAGALLANES,SAN ALBERTO HURTADO,0 days 10:35:06.000000000
42282,2013-04-17 18:39:09,59460077,LABORAL,6,2,E-7-51-NS-15,T-29-238-NS-20,0 days 00:38:43.000000000
42281,2013-04-18 06:21:12,59460077,LABORAL,7,1,T-29-238-SN-10,E-7-51-SN-30,0 days 11:42:03.000000000
42280,2013-04-18 06:42:13,59460077,LABORAL,7,2,SAN ALBERTO HURTADO,HERNANDO DE MAGALLANES,0 days 00:21:01.000000000
42279,2013-04-18 18:16:13,59460077,LABORAL,8,1,HERNANDO DE MAGALLANES,SAN ALBERTO HURTADO,0 days 11:34:00.000000000
42278,2013-04-18 18:58:43,59460077,LABORAL,8,2,E-7-51-NS-15,T-29-238-NS-20,0 days 00:42:30.000000000
42277,2013-04-19 06:30:41,59460077,LABORAL,9,1,T-29-238-SN-15,E-7-51-SN-30,0 days 11:31:58.000000000
42276,2013-04-19 06:54:47,59460077,LABORAL,9,2,SAN ALBERTO HURTADO,HERNANDO DE MAGALLANES,0 days 00:24:06.000000000
42275,2013-04-19 17:36:17,59460077,LABORAL,10,1,HERNANDO DE MAGALLANES,SAN ALBERTO HURTADO,0 days 10:41:30.000000000
42274,2013-04-19 18:20:48,59460077,LABORAL,10,2,E-7-51-NS-15,T-29-238-NS-15,0 days 00:44:31.000000000
42273,2013-04-19 21:50:49,59460077,LABORAL,11,1,T-29-238-NS-15,T-29-238-NS-20,0 days 03:30:01.000000000
