,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
96,2013-04-15 01:31:41,1261466,LABORAL,1,1,T-18-157-PO-60,E-18-157-PO-90,-5 days +07:17:02.000000000
95,2013-04-15 01:39:11,1261466,LABORAL,1,2,T-19-12-SN-5,L-19-21-SN-20,0 days 00:07:30.000000000
94,2013-04-15 08:52:21,1261466,LABORAL,2,1,SIMON BOLIVAR,LOS HEROES,0 days 07:13:10.000000000
93,2013-04-15 14:13:37,1261466,LABORAL,3,1,LOS HEROES,SANTA ISABEL,0 days 05:21:16.000000000
92,2013-04-15 14:38:31,1261466,LABORAL,3,2,L-14-10-PO-5,L-19-21-SN-15,0 days 00:24:54.000000000
91,2013-04-16 08:10:04,1261466,LABORAL,4,1,SIMON BOLIVAR,LOS HEROES,0 days 17:31:33.000000000
90,2013-04-16 18:39:24,1261466,LABORAL,5,1,LOS HEROES,SIMON BOLIVAR,0 days 10:29:20.000000000
89,2013-04-17 19:02:40,1261466,LABORAL,6,1,LOS HEROES,,1 days 00:23:16.000000000
88,2013-04-18 11:20:34,1261466,LABORAL,7,1,SIMON BOLIVAR,,0 days 16:17:54.000000000
87,2013-04-18 11:20:38,1261466,LABORAL,8,1,SIMON BOLIVAR,LOS HEROES,0 days 00:00:04.000000000
86,2013-04-18 19:35:26,1261466,LABORAL,9,1,LOS HEROES,SIMON BOLIVAR,0 days 08:14:48.000000000
85,2013-04-19 10:19:15,1261466,LABORAL,10,1,LOS HEROES,VESPUCIO NORTE,0 days 14:43:49.000000000
84,2013-04-19 12:05:41,1261466,LABORAL,11,1,T-3-19-NS-45,,0 days 01:46:26.000000000
83,2013-04-19 17:58:23,1261466,LABORAL,12,1,LOS HEROES,LOS HEROES,0 days 05:52:42.000000000
82,2013-04-20 14:52:23,1261466,SABADO,13,1,T-18-157-PO-40,E-18-157-PO-90,0 days 20:54:00.000000000
81,2013-04-20 15:07:39,1261466,SABADO,13,2,L-32-3-SN-10,,0 days 00:15:16.000000000
