,tiempo_subida,id,tipo_dia,nviaje,netapa,par_subida,par_bajada,diferencia_tiempo
22486,2013-09-23 08:26:08,50264508,LABORAL,1,1,SIMON BOLIVAR,LA MONEDA,-5 days +14:24:20.000000000
22485,2013-09-23 19:08:45,50264508,LABORAL,2,1,LA MONEDA,SIMON BOLIVAR,0 days 10:42:37.000000000
22484,2013-09-24 08:28:20,50264508,LABORAL,3,1,SIMON BOLIVAR,UNIVERSIDAD DE CHILE,0 days 13:19:35.000000000
22483,2013-09-24 18:35:51,50264508,LABORAL,4,1,UNIVERSIDAD DE CHILE,SIMON BOLIVAR,0 days 10:07:31.000000000
22482,2013-09-25 08:27:21,50264508,LABORAL,5,1,SIMON BOLIVAR,LA MONEDA,0 days 13:51:30.000000000
22481,2013-09-25 18:32:49,50264508,LABORAL,6,1,LA MONEDA,SIMON BOLIVAR,0 days 10:05:28.000000000
22480,2013-09-26 08:35:54,50264508,LABORAL,7,1,SIMON BOLIVAR,LA MONEDA,0 days 14:03:05.000000000
22479,2013-09-26 15:35:58,50264508,LABORAL,8,1,LA MONEDA,PEDRO DE VALDIVIA,0 days 07:00:04.000000000
22478,2013-09-26 15:51:20,50264508,LABORAL,8,2,T-14-127-NS-4,T-14-127-NS-15,0 days 00:15:22.000000000
22477,2013-09-26 17:52:13,50264508,LABORAL,9,1,T-14-127-NS-15,T-14-127-NS-45,0 days 02:00:53.000000000
22476,2013-09-26 18:13:27,50264508,LABORAL,9,2,L-18-6-PO-110,L-19-21-SN-15,0 days 00:21:14.000000000
22475,2013-09-27 08:28:00,50264508,LABORAL,10,1,SIMON BOLIVAR,LA MONEDA,0 days 14:14:33.000000000
22474,2013-09-27 17:13:49,50264508,LABORAL,11,1,LA MONEDA,SIMON BOLIVAR,0 days 08:45:49.000000000
